"Indicator","Time","Value (USD/UAH)"
"Currency","2017/09/07",26.01
"Currency","2017/09/06",25.99
"Currency","2017/09/05",25.92
"Currency","2017/09/04",25.86
"Currency","2017/09/01",25.76
"Currency","2017/08/31",25.66
"Currency","2017/08/30",25.57
"Currency","2017/08/29",25.43
"Currency","2017/08/28",25.49
"Currency","2017/08/25",25.52
"Currency","2017/08/24",25.53
"Currency","2017/08/23",25.52
"Currency","2017/08/22",25.45
"Currency","2017/08/21",25.46
"Currency","2017/08/18",25.45
"Currency","2017/08/17",25.50
"Currency","2017/08/16",25.55
"Currency","2017/08/15",25.58
"Currency","2017/08/14",25.61
"Currency","2017/08/12",25.65
"Currency","2017/08/11",25.65
"Currency","2017/08/10",25.66
"Currency","2017/08/09",25.70
"Currency","2017/08/08",25.69
"Currency","2017/08/07",25.74
"Currency","2017/08/05",25.85
"Currency","2017/08/04",25.85
"Currency","2017/08/03",25.86
"Currency","2017/08/02",25.93
"Currency","2017/08/01",25.83
"Currency","2017/07/31",25.79
"Currency","2017/07/28",25.91
"Currency","2017/07/27",25.90
"Currency","2017/07/25",25.83
"Currency","2017/07/24",25.80
"Currency","2017/07/21",25.87
"Currency","2017/07/20",25.89
"Currency","2017/07/19",25.93
"Currency","2017/07/18",25.90
"Currency","2017/07/17",25.92
"Currency","2017/07/14",26.00
"Currency","2017/07/13",25.98
"Currency","2017/07/12",25.89
"Currency","2017/07/11",25.92
"Currency","2017/07/10",26.02
"Currency","2017/07/07",26.00
"Currency","2017/07/06",26.10
"Currency","2017/07/05",26.11
"Currency","2017/07/04",26.04
"Currency","2017/07/03",26.06
"Currency","2017/06/30",26.07
"Currency","2017/06/29",26.06
"Currency","2017/06/28",26.06
"Currency","2017/06/27",26.04
"Currency","2017/06/26",26.04
"Currency","2017/06/24",26.02
"Currency","2017/06/23",26.02
"Currency","2017/06/22",26.01
"Currency","2017/06/21",25.99
"Currency","2017/06/20",25.99
"Currency","2017/06/19",26.01
"Currency","2017/06/17",26.02
"Currency","2017/06/16",26.00
"Currency","2017/06/15",26.00
"Currency","2017/06/14",25.99
"Currency","2017/06/13",26.05
"Currency","2017/06/12",26.13
"Currency","2017/06/09",26.11
"Currency","2017/06/08",26.17
"Currency","2017/06/07",26.21
"Currency","2017/06/06",26.26
"Currency","2017/06/05",26.26
"Currency","2017/06/03",26.26
"Currency","2017/06/02",26.26
"Currency","2017/06/01",26.25
"Currency","2017/05/31",26.27
"Currency","2017/05/30",26.32
"Currency","2017/05/29",26.30
"Currency","2017/05/26",26.33
"Currency","2017/05/25",26.26
"Currency","2017/05/24",26.25
"Currency","2017/05/23",26.28
"Currency","2017/05/22",26.33
"Currency","2017/05/20",26.34
"Currency","2017/05/19",26.34
"Currency","2017/05/18",26.37
"Currency","2017/05/17",26.39
"Currency","2017/05/15",26.42
"Currency","2017/05/12",26.46
"Currency","2017/05/11",26.41
"Currency","2017/05/10",26.43
"Currency","2017/05/09",26.49
"Currency","2017/05/08",26.49
"Currency","2017/05/05",26.49
"Currency","2017/05/04",26.46
"Currency","2017/05/03",26.47
"Currency","2017/05/02",26.54
"Currency","2017/05/01",26.54
"Currency","2017/04/27",26.54
"Currency","2017/04/26",26.56
"Currency","2017/04/20",26.73
"Currency","2017/04/19",26.73
"Currency","2017/04/18",26.81
"Currency","2017/04/17",26.82
"Currency","2017/04/14",26.81
"Currency","2017/04/13",26.83
"Currency","2017/04/12",26.84
"Currency","2017/04/11",26.86
"Currency","2017/04/10",26.86
"Currency","2017/04/07",26.93
"Currency","2017/04/06",27.00
"Currency","2017/04/05",27.03
"Currency","2017/04/04",27.12
"Currency","2017/04/03",26.97
"Currency","2017/03/31",27.03
"Currency","2017/03/30",26.94
"Currency","2017/03/29",27.00
"Currency","2017/03/28",27.09
"Currency","2017/03/27",27.10
"Currency","2017/03/24",27.09
"Currency","2017/03/23",27.06
"Currency","2017/03/22",26.89
"Currency","2017/03/21",26.85
"Currency","2017/03/20",26.86
"Currency","2017/03/17",26.87
"Currency","2017/03/16",26.94
"Currency","2017/03/15",26.84
"Currency","2017/03/14",26.87
"Currency","2017/03/13",26.89
"Currency","2017/03/10",26.71
"Currency","2017/03/09",26.83
"Currency","2017/03/08",26.94
"Currency","2017/03/07",26.94
"Currency","2017/03/06",26.95
"Currency","2017/03/03",27.08
"Currency","2017/03/02",26.99
"Currency","2017/03/01",27.15
"Currency","2017/02/28",27.17
"Currency","2017/02/27",27.03
"Currency","2017/02/24",26.89
"Currency","2017/02/23",26.89
"Currency","2017/02/22",26.91
