"Indicator","Time","Value (USD/TJS)"
"Currency","2017/09/07",8.81
"Currency","2017/09/06",8.80
"Currency","2017/09/05",8.81
"Currency","2017/09/04",8.81
"Currency","2017/09/01",8.80
"Currency","2017/08/31",8.80
"Currency","2017/08/30",8.81
"Currency","2017/08/29",8.81
"Currency","2017/08/28",8.80
"Currency","2017/08/25",8.79
"Currency","2017/08/24",8.80
"Currency","2017/08/23",8.81
"Currency","2017/08/22",8.81
"Currency","2017/08/21",8.81
"Currency","2017/08/19",8.81
"Currency","2017/08/18",8.81
"Currency","2017/08/17",8.79
"Currency","2017/08/16",8.81
"Currency","2017/08/15",8.81
"Currency","2017/08/14",8.81
"Currency","2017/08/11",8.81
"Currency","2017/08/10",8.80
"Currency","2017/08/09",8.81
"Currency","2017/08/08",8.81
"Currency","2017/08/07",8.81
"Currency","2017/08/05",8.81
"Currency","2017/08/04",8.81
"Currency","2017/08/03",8.81
"Currency","2017/08/02",8.80
"Currency","2017/08/01",8.80
"Currency","2017/07/31",8.79
"Currency","2017/07/28",8.80
"Currency","2017/07/27",8.77
"Currency","2017/07/26",8.78
"Currency","2017/07/25",8.77
"Currency","2017/07/24",8.79
"Currency","2017/07/21",8.81
"Currency","2017/07/20",8.79
"Currency","2017/07/19",8.81
"Currency","2017/07/18",8.81
"Currency","2017/07/17",8.81
"Currency","2017/07/14",8.80
"Currency","2017/07/13",8.80
"Currency","2017/07/12",8.81
"Currency","2017/07/11",8.82
"Currency","2017/07/10",8.80
"Currency","2017/07/07",8.80
"Currency","2017/07/06",8.81
"Currency","2017/07/05",8.78
"Currency","2017/07/04",8.82
"Currency","2017/07/03",8.82
"Currency","2017/06/30",8.80
"Currency","2017/06/29",8.79
"Currency","2017/06/28",8.81
"Currency","2017/06/27",8.81
"Currency","2017/06/26",8.79
"Currency","2017/06/23",8.81
"Currency","2017/06/22",8.81
"Currency","2017/06/21",8.82
"Currency","2017/06/20",8.82
"Currency","2017/06/19",8.81
"Currency","2017/06/16",8.82
"Currency","2017/06/15",8.80
"Currency","2017/06/14",8.82
"Currency","2017/06/13",8.82
"Currency","2017/06/12",8.81
"Currency","2017/06/09",8.82
"Currency","2017/06/08",8.82
"Currency","2017/06/07",8.82
"Currency","2017/06/06",8.82
"Currency","2017/06/05",8.82
"Currency","2017/06/02",8.82
"Currency","2017/06/01",8.82
"Currency","2017/05/31",8.82
"Currency","2017/05/30",8.81
"Currency","2017/05/29",8.82
"Currency","2017/05/26",8.82
"Currency","2017/05/25",8.82
"Currency","2017/05/24",8.82
"Currency","2017/05/23",8.50
"Currency","2017/05/22",8.50
"Currency","2017/05/19",8.50
"Currency","2017/05/18",8.49
"Currency","2017/05/17",8.78
"Currency","2017/05/16",8.49
"Currency","2017/05/15",8.78
"Currency","2017/05/12",8.78
"Currency","2017/05/11",8.82
"Currency","2017/05/10",8.78
"Currency","2017/05/09",8.50
"Currency","2017/05/08",8.81
"Currency","2017/05/05",8.49
"Currency","2017/05/04",8.82
"Currency","2017/05/03",8.49
"Currency","2017/05/02",8.50
"Currency","2017/05/01",8.83
"Currency","2017/04/28",8.81
"Currency","2017/04/27",8.48
"Currency","2017/04/26",8.79
"Currency","2017/04/25",8.81
"Currency","2017/04/24",8.48
"Currency","2017/04/21",8.81
"Currency","2017/04/20",8.49
"Currency","2017/04/19",8.48
"Currency","2017/04/18",8.49
"Currency","2017/04/17",8.48
"Currency","2017/04/14",8.50
"Currency","2017/04/13",8.82
"Currency","2017/04/12",8.82
"Currency","2017/04/11",8.80
"Currency","2017/04/10",8.40
"Currency","2017/04/07",8.40
"Currency","2017/04/06",8.37
"Currency","2017/04/05",8.35
"Currency","2017/04/04",8.30
"Currency","2017/04/03",8.30
"Currency","2017/03/31",8.27
"Currency","2017/03/30",8.20
"Currency","2017/03/29",8.20
"Currency","2017/03/28",8.16
"Currency","2017/03/27",8.16
"Currency","2017/03/24",8.17
"Currency","2017/03/23",8.14
"Currency","2017/03/22",8.15
"Currency","2017/03/21",8.15
"Currency","2017/03/20",8.14
"Currency","2017/03/17",8.13
"Currency","2017/03/16",8.12
"Currency","2017/03/15",8.09
"Currency","2017/03/14",8.10
"Currency","2017/03/13",8.10
"Currency","2017/03/10",8.10
"Currency","2017/03/09",7.92
"Currency","2017/03/08",8.02
"Currency","2017/03/07",7.94
"Currency","2017/03/06",7.94
"Currency","2017/03/03",8.00
"Currency","2017/03/02",7.95
"Currency","2017/03/01",8.00
"Currency","2017/02/28",7.97
"Currency","2017/02/27",7.99
"Currency","2017/02/24",7.98
"Currency","2017/02/23",7.97
"Currency","2017/02/22",7.95
"Currency","2017/02/21",7.96
"Currency","2017/02/20",7.95
"Currency","2017/02/17",7.87
"Currency","2017/02/16",7.93
"Currency","2017/02/15",7.88
"Currency","2017/02/14",7.89
"Currency","2017/02/13",7.90
"Currency","2017/02/10",7.90
"Currency","2017/02/09",7.90
"Currency","2017/02/08",7.89
"Currency","2017/02/07",7.91
"Currency","2017/02/06",7.90
"Currency","2017/02/03",7.90
"Currency","2017/02/02",7.90
"Currency","2017/02/01",7.90
"Currency","2017/01/31",7.90
"Currency","2017/01/30",7.90
"Currency","2017/01/27",7.90
"Currency","2017/01/26",7.87
"Currency","2017/01/25",7.87
"Currency","2017/01/24",7.88
"Currency","2017/01/23",7.86
"Currency","2017/01/20",7.89
"Currency","2017/01/19",7.86
"Currency","2017/01/18",7.88
"Currency","2017/01/17",7.89
"Currency","2017/01/16",7.89
"Currency","2017/01/13",7.88
