"Indicator","Time","Value (USD/SYP)"
"Currency","2017/11/02",515.00
"Currency","2017/11/01",514.98
"Currency","2017/10/31",514.98
"Currency","2017/10/30",514.98
"Currency","2017/10/27",514.98
"Currency","2017/10/26",514.98
"Currency","2017/10/25",514.98
"Currency","2017/10/24",514.98
"Currency","2017/10/23",514.98
"Currency","2017/10/20",514.98
"Currency","2017/10/19",514.98
"Currency","2017/10/18",514.98
"Currency","2017/10/17",514.98
"Currency","2017/10/16",514.98
"Currency","2017/10/13",514.98
"Currency","2017/10/12",514.98
"Currency","2017/10/11",515.00
"Currency","2017/10/10",514.98
"Currency","2017/10/09",514.98
"Currency","2017/10/06",514.98
"Currency","2017/10/05",514.98
"Currency","2017/10/04",514.98
"Currency","2017/10/03",514.98
"Currency","2017/10/02",514.98
"Currency","2017/09/29",514.98
"Currency","2017/09/28",514.98
"Currency","2017/09/27",514.98
"Currency","2017/09/26",514.98
"Currency","2017/09/25",514.98
"Currency","2017/09/22",514.98
"Currency","2017/09/21",514.98
"Currency","2017/09/20",514.98
"Currency","2017/09/19",514.98
"Currency","2017/09/18",514.98
"Currency","2017/09/16",514.98
"Currency","2017/09/15",514.98
"Currency","2017/09/14",514.98
"Currency","2017/09/13",514.98
"Currency","2017/09/12",514.98
"Currency","2017/09/11",514.98
"Currency","2017/09/08",514.98
"Currency","2017/09/07",514.98
"Currency","2017/09/06",514.98
"Currency","2017/09/05",514.98
"Currency","2017/09/04",515.00
"Currency","2017/09/01",514.98
"Currency","2017/08/31",514.98
"Currency","2017/08/30",514.98
"Currency","2017/08/29",515.00
"Currency","2017/08/28",514.98
"Currency","2017/08/25",514.98
"Currency","2017/08/24",514.98
"Currency","2017/08/23",514.98
"Currency","2017/08/22",514.98
"Currency","2017/08/21",514.98
"Currency","2017/08/18",514.98
"Currency","2017/08/17",514.98
"Currency","2017/08/16",514.98
"Currency","2017/08/15",514.98
"Currency","2017/08/14",514.98
"Currency","2017/08/11",514.98
"Currency","2017/08/10",514.98
"Currency","2017/08/09",514.98
"Currency","2017/08/08",514.98
"Currency","2017/08/07",514.98
"Currency","2017/08/04",514.98
"Currency","2017/08/03",514.98
"Currency","2017/08/02",515.00
"Currency","2017/08/01",515.00
"Currency","2017/07/31",515.00
"Currency","2017/07/28",515.00
"Currency","2017/07/27",515.30
"Currency","2017/07/26",515.00
"Currency","2017/07/25",515.00
"Currency","2017/07/24",515.00
"Currency","2017/07/21",515.00
"Currency","2017/07/20",515.00
"Currency","2017/07/19",514.98
"Currency","2017/07/18",514.98
"Currency","2017/07/17",514.98
"Currency","2017/07/14",515.00
"Currency","2017/07/13",514.98
"Currency","2017/07/12",514.98
"Currency","2017/07/11",515.00
"Currency","2017/07/10",514.98
"Currency","2017/07/07",514.98
"Currency","2017/07/06",514.98
"Currency","2017/07/05",515.00
"Currency","2017/07/04",515.00
"Currency","2017/07/03",515.00
"Currency","2017/07/02",515.00
"Currency","2017/06/30",514.98
"Currency","2017/06/29",514.98
"Currency","2017/06/28",514.98
"Currency","2017/06/27",515.00
"Currency","2017/06/26",514.98
"Currency","2017/06/23",514.98
"Currency","2017/06/22",514.98
"Currency","2017/06/21",514.98
"Currency","2017/06/20",514.98
"Currency","2017/06/19",514.98
"Currency","2017/06/17",514.98
"Currency","2017/06/16",514.98
"Currency","2017/06/15",514.98
"Currency","2017/06/14",514.98
"Currency","2017/06/13",514.98
"Currency","2017/06/12",514.98
"Currency","2017/06/09",514.98
"Currency","2017/06/08",514.98
"Currency","2017/06/07",514.98
"Currency","2017/06/06",514.98
