"Indicator","Time","Value (USD/COP)"
"Currency","2017/09/22",2901.10
"Currency","2017/09/21",2913.00
"Currency","2017/09/20",2888.00
"Currency","2017/09/19",2897.10
"Currency","2017/09/18",2904.40
"Currency","2017/09/16",2894.00
"Currency","2017/09/15",2894.00
"Currency","2017/09/14",2893.70
"Currency","2017/09/13",2909.30
"Currency","2017/09/12",2906.80
"Currency","2017/09/11",2921.00
"Currency","2017/09/08",2902.10
"Currency","2017/09/07",2900.30
"Currency","2017/09/06",2911.70
"Currency","2017/09/05",2924.10
"Currency","2017/09/04",2928.10
"Currency","2017/09/01",2929.00
"Currency","2017/08/31",2947.10
"Currency","2017/08/30",2951.00
"Currency","2017/08/29",2932.00
"Currency","2017/08/28",2946.50
"Currency","2017/08/25",2922.82
"Currency","2017/08/24",2960.05
"Currency","2017/08/23",2979.00
"Currency","2017/08/22",2982.90
"Currency","2017/08/21",2982.10
"Currency","2017/08/18",2984.90
"Currency","2017/08/17",2984.90
"Currency","2017/08/16",2968.70
"Currency","2017/08/15",2956.70
"Currency","2017/08/14",2965.90
"Currency","2017/08/12",2973.10
"Currency","2017/08/11",2973.10
"Currency","2017/08/10",2998.00
"Currency","2017/08/09",3000.00
"Currency","2017/08/08",2995.50
"Currency","2017/08/07",2981.00
"Currency","2017/08/04",2985.00
"Currency","2017/08/03",2957.10
"Currency","2017/08/02",2961.25
"Currency","2017/08/01",2964.21
"Currency","2017/07/31",2984.00
"Currency","2017/07/28",2996.19
"Currency","2017/07/27",3016.04
"Currency","2017/07/26",3029.70
"Currency","2017/07/25",3030.20
"Currency","2017/07/24",3026.96
"Currency","2017/07/21",3014.28
"Currency","2017/07/20",2996.08
"Currency","2017/07/19",3009.90
"Currency","2017/07/18",3012.50
"Currency","2017/07/17",3030.00
"Currency","2017/07/14",3023.07
"Currency","2017/07/13",3041.80
"Currency","2017/07/12",3052.50
"Currency","2017/07/11",3074.50
"Currency","2017/07/10",3087.80
"Currency","2017/07/08",3084.40
"Currency","2017/07/07",3084.40
"Currency","2017/07/06",3082.30
"Currency","2017/07/05",3083.00
"Currency","2017/07/04",3044.80
"Currency","2017/07/03",3044.00
"Currency","2017/07/01",3046.30
"Currency","2017/06/30",3046.30
"Currency","2017/06/29",3018.50
"Currency","2017/06/28",3015.10
"Currency","2017/06/27",3025.07
"Currency","2017/06/26",3020.50
"Currency","2017/06/24",3025.40
"Currency","2017/06/23",3025.40
"Currency","2017/06/22",3056.20
"Currency","2017/06/21",3027.20
"Currency","2017/06/20",2974.30
"Currency","2017/06/19",2974.60
"Currency","2017/06/17",2951.20
"Currency","2017/06/16",2973.50
"Currency","2017/06/15",2951.30
"Currency","2017/06/14",2931.30
"Currency","2017/06/13",2927.60
"Currency","2017/06/12",2931.00
"Currency","2017/06/09",2912.90
"Currency","2017/06/08",2917.40
"Currency","2017/06/07",2911.10
"Currency","2017/06/06",2893.00
"Currency","2017/06/05",2895.80
"Currency","2017/06/02",2891.00
"Currency","2017/06/01",2914.40
"Currency","2017/05/31",2925.00
"Currency","2017/05/30",2917.80
"Currency","2017/05/29",2908.20
"Currency","2017/05/26",2908.40
"Currency","2017/05/25",2914.20
"Currency","2017/05/24",2902.00
"Currency","2017/05/23",2903.90
"Currency","2017/05/22",2899.70
"Currency","2017/05/20",2923.10
"Currency","2017/05/19",2923.10
"Currency","2017/05/18",2896.00
"Currency","2017/05/17",2878.40
"Currency","2017/05/16",2880.33
"Currency","2017/05/15",2879.35
"Currency","2017/05/12",2920.00
"Currency","2017/05/11",2941.02
"Currency","2017/05/10",2940.93
"Currency","2017/05/09",2976.00
"Currency","2017/05/08",2961.00
"Currency","2017/05/05",2943.00
"Currency","2017/05/04",2981.50
"Currency","2017/05/03",2929.00
"Currency","2017/05/02",2940.15
"Currency","2017/05/01",2940.00
"Currency","2017/04/28",2939.75
"Currency","2017/04/27",2940.00
"Currency","2017/04/26",2928.20
"Currency","2017/04/25",2900.03
"Currency","2017/04/24",2871.00
"Currency","2017/04/21",2875.50
