"Indicator","Time","Value (USD/BOB)"
"Currency","2017/09/06",6.90
"Currency","2017/09/05",6.90
"Currency","2017/09/04",6.86
"Currency","2017/09/01",6.86
"Currency","2017/08/31",6.90
"Currency","2017/08/30",6.90
"Currency","2017/08/29",6.90
"Currency","2017/08/28",6.86
"Currency","2017/08/25",6.89
"Currency","2017/08/24",6.90
"Currency","2017/08/23",6.90
"Currency","2017/08/22",6.86
"Currency","2017/08/21",6.90
"Currency","2017/08/18",6.90
"Currency","2017/08/17",6.88
"Currency","2017/08/16",6.90
"Currency","2017/08/15",6.90
"Currency","2017/08/14",6.89
"Currency","2017/08/11",6.90
"Currency","2017/08/10",6.89
"Currency","2017/08/09",6.89
"Currency","2017/08/08",6.88
"Currency","2017/08/07",6.90
"Currency","2017/08/04",6.90
"Currency","2017/08/03",6.90
"Currency","2017/08/02",6.90
"Currency","2017/08/01",6.90
"Currency","2017/07/31",6.90
"Currency","2017/07/28",6.90
"Currency","2017/07/27",6.88
"Currency","2017/07/26",6.90
"Currency","2017/07/25",6.88
"Currency","2017/07/24",6.88
"Currency","2017/07/21",6.90
"Currency","2017/07/20",6.88
"Currency","2017/07/19",6.90
"Currency","2017/07/18",6.90
"Currency","2017/07/17",6.90
"Currency","2017/07/14",6.88
"Currency","2017/07/13",6.90
"Currency","2017/07/12",6.89
"Currency","2017/07/11",6.87
"Currency","2017/07/10",6.90
"Currency","2017/07/08",6.90
"Currency","2017/07/07",6.90
"Currency","2017/07/06",6.90
"Currency","2017/07/05",6.89
"Currency","2017/07/04",6.89
"Currency","2017/07/03",6.90
"Currency","2017/06/30",6.90
"Currency","2017/06/29",6.90
"Currency","2017/06/28",6.89
"Currency","2017/06/27",6.90
"Currency","2017/06/26",6.90
"Currency","2017/06/24",6.90
"Currency","2017/06/23",6.90
"Currency","2017/06/22",6.90
"Currency","2017/06/21",6.90
"Currency","2017/06/20",6.90
"Currency","2017/06/19",6.90
"Currency","2017/06/17",6.89
"Currency","2017/06/16",6.89
"Currency","2017/06/15",6.90
"Currency","2017/06/14",6.90
"Currency","2017/06/13",6.90
"Currency","2017/06/12",6.90
"Currency","2017/06/09",6.89
"Currency","2017/06/08",6.90
"Currency","2017/06/07",6.90
"Currency","2017/06/06",6.90
"Currency","2017/06/05",6.88
"Currency","2017/06/02",6.89
"Currency","2017/06/01",6.86
"Currency","2017/05/31",6.89
"Currency","2017/05/30",6.90
"Currency","2017/05/29",6.90
"Currency","2017/05/26",6.90
"Currency","2017/05/25",6.90
"Currency","2017/05/24",6.90
"Currency","2017/05/23",6.90
"Currency","2017/05/22",6.89
"Currency","2017/05/20",6.89
"Currency","2017/05/19",6.89
"Currency","2017/05/18",6.90
