"Indicator","Time","Value (USD/NPR)"
"Currency","2014/09/04",96.56
"Currency","2014/09/03",96.78
"Currency","2014/09/02",96.70
"Currency","2014/09/01",96.84
"Currency","2014/08/29",96.79
"Currency","2014/08/28",96.79
"Currency","2014/08/27",96.73
"Currency","2014/08/26",96.70
"Currency","2014/08/25",96.90
"Currency","2014/08/22",96.75
"Currency","2014/08/21",97.32
"Currency","2014/08/20",96.98
"Currency","2014/08/19",97.09
"Currency","2014/08/18",97.23
"Currency","2014/08/15",97.23
"Currency","2014/08/14",97.23
"Currency","2014/08/13",97.95
"Currency","2014/08/12",97.73
"Currency","2014/08/11",97.87
"Currency","2014/08/08",98.12
"Currency","2014/08/07",97.95
"Currency","2014/08/06",98.39
"Currency","2014/08/05",97.35
"Currency","2014/08/04",97.50
"Currency","2014/08/01",97.89
"Currency","2014/07/31",96.89
"Currency","2014/07/30",96.09
"Currency","2014/07/29",96.20
"Currency","2014/07/28",96.20
"Currency","2014/07/25",96.17
"Currency","2014/07/24",96.20
"Currency","2014/07/23",96.14
"Currency","2014/07/22",96.39
"Currency","2014/07/21",96.48
"Currency","2014/07/18",96.45
"Currency","2014/07/17",96.28
"Currency","2014/07/16",96.20
"Currency","2014/07/15",96.20
"Currency","2014/07/14",96.20
"Currency","2014/07/11",95.89
"Currency","2014/07/10",96.31
"Currency","2014/07/09",95.60
"Currency","2014/07/08",95.64
"Currency","2014/07/07",96.03
"Currency","2014/07/04",95.56
"Currency","2014/07/03",95.57
"Currency","2014/07/02",95.51
"Currency","2014/07/01",96.12
"Currency","2014/06/30",96.28
"Currency","2014/06/27",96.14
"Currency","2014/06/26",96.23
"Currency","2014/06/25",96.21
"Currency","2014/06/24",96.26
"Currency","2014/06/23",96.33
"Currency","2014/06/20",96.30
"Currency","2014/06/19",96.14
"Currency","2014/06/18",96.63
"Currency","2014/06/17",96.05
"Currency","2014/06/16",96.26
"Currency","2014/06/13",95.63
"Currency","2014/06/12",94.81
"Currency","2014/06/11",94.84
"Currency","2014/06/10",94.87
"Currency","2014/06/09",94.73
"Currency","2014/06/06",94.68
"Currency","2014/06/05",94.94
"Currency","2014/06/04",94.93
"Currency","2014/06/03",95.03
"Currency","2014/06/02",94.65
"Currency","2014/05/30",94.57
"Currency","2014/05/29",94.46
"Currency","2014/05/28",94.29
"Currency","2014/05/27",94.47
"Currency","2014/05/26",93.95
"Currency","2014/05/23",93.64
"Currency","2014/05/22",93.55
"Currency","2014/05/21",94.05
"Currency","2014/05/20",93.82
"Currency","2014/05/19",93.75
"Currency","2014/05/16",94.07
"Currency","2014/05/15",94.87
"Currency","2014/05/14",95.50
"Currency","2014/05/13",95.50
"Currency","2014/05/12",96.09
"Currency","2014/05/09",96.07
"Currency","2014/05/08",96.11
"Currency","2014/05/07",96.23
"Currency","2014/05/06",96.57
"Currency","2014/05/05",96.35
"Currency","2014/05/02",96.27
"Currency","2014/05/01",96.51
"Currency","2014/04/30",96.51
"Currency","2014/04/29",96.68
"Currency","2014/04/28",97.04
"Currency","2014/04/25",96.97
"Currency","2014/04/24",97.72
"Currency","2014/04/23",97.72
"Currency","2014/04/22",97.23
"Currency","2014/04/21",96.95
"Currency","2014/04/18",96.47
"Currency","2014/04/17",96.47
"Currency","2014/04/16",96.60
"Currency","2014/04/15",96.37
"Currency","2014/04/14",96.29
"Currency","2014/04/11",96.29
"Currency","2014/04/10",96.12
"Currency","2014/04/09",96.23
"Currency","2014/04/08",96.19
"Currency","2014/04/07",96.19
"Currency","2014/04/04",96.13
"Currency","2014/04/03",96.27
"Currency","2014/04/02",95.85
"Currency","2014/04/01",95.86
"Currency","2014/03/31",95.86
"Currency","2014/03/28",95.86
"Currency","2014/03/27",96.51
"Currency","2014/03/26",96.23
"Currency","2014/03/25",96.77
"Currency","2014/03/24",97.25
"Currency","2014/03/21",97.44
"Currency","2014/03/20",98.15
"Currency","2014/03/19",97.53
"Currency","2014/03/18",97.91
"Currency","2014/03/17",97.91
"Currency","2014/03/14",97.91
"Currency","2014/03/13",97.88
"Currency","2014/03/12",97.95
"Currency","2014/03/11",97.51
"Currency","2014/03/10",97.37
"Currency","2014/03/07",97.74
"Currency","2014/03/06",97.78
"Currency","2014/03/05",98.81
"Currency","2014/03/04",98.96
"Currency","2014/03/03",99.27
"Currency","2014/02/28",98.81
"Currency","2014/02/27",99.18
"Currency","2014/02/26",99.18
"Currency","2014/02/25",99.10
"Currency","2014/02/24",99.32
"Currency","2014/02/21",99.40
"Currency","2014/02/20",99.57
"Currency","2014/02/19",99.53
"Currency","2014/02/18",99.53
"Currency","2014/02/17",98.95
"Currency","2014/02/14",99.09
"Currency","2014/02/13",99.88
"Currency","2014/02/12",99.35
"Currency","2014/02/11",99.56
"Currency","2014/02/10",99.90
"Currency","2014/02/07",99.66
"Currency","2014/02/06",99.79
"Currency","2014/02/05",100.12
"Currency","2014/02/04",100.05
"Currency","2014/02/03",100.11
"Currency","2014/01/31",100.30
"Currency","2014/01/30",100.10
"Currency","2014/01/29",99.87
"Currency","2014/01/28",100.02
"Currency","2014/01/27",100.97
"Currency","2014/01/24",100.27
"Currency","2014/01/23",99.09
"Currency","2014/01/22",98.91
"Currency","2014/01/21",99.02
"Currency","2014/01/20",98.60
"Currency","2014/01/17",98.47
"Currency","2014/01/16",98.46
"Currency","2014/01/15",98.47
"Currency","2014/01/14",98.44
"Currency","2014/01/13",98.44
"Currency","2014/01/10",99.05
"Currency","2014/01/09",99.32
"Currency","2014/01/08",99.32
"Currency","2014/01/07",99.69
"Currency","2014/01/06",99.70
"Currency","2014/01/03",99.46
"Currency","2014/01/02",99.63
"Currency","2014/01/01",99.05
"Currency","2013/12/31",98.89
"Currency","2013/12/30",99.06
"Currency","2013/12/27",98.97
"Currency","2013/12/26",99.46
"Currency","2013/12/25",98.87
"Currency","2013/12/24",98.87
"Currency","2013/12/23",99.13
"Currency","2013/12/20",99.27
"Currency","2013/12/19",99.43
"Currency","2013/12/18",99.35
"Currency","2013/12/17",99.23
"Currency","2013/12/16",98.78
"Currency","2013/12/13",99.41
"Currency","2013/12/12",98.91
"Currency","2013/12/11",98.00
"Currency","2013/12/10",97.67
"Currency","2013/12/09",97.82
"Currency","2013/12/06",98.26
"Currency","2013/12/05",98.81
"Currency","2013/12/04",99.29
"Currency","2013/12/03",99.78
"Currency","2013/12/02",99.71
"Currency","2013/11/29",99.91
"Currency","2013/11/28",99.87
"Currency","2013/11/27",99.43
"Currency","2013/11/26",100.01
"Currency","2013/11/25",100.01
"Currency","2013/11/22",100.60
"Currency","2013/11/21",100.70
"Currency","2013/11/20",100.12
"Currency","2013/11/19",99.79
"Currency","2013/11/18",99.86
"Currency","2013/11/15",100.99
"Currency","2013/11/14",100.99
"Currency","2013/11/13",101.29
"Currency","2013/11/12",101.95
"Currency","2013/11/11",101.19
"Currency","2013/11/08",99.97
"Currency","2013/11/07",99.87
"Currency","2013/11/06",99.83
"Currency","2013/11/05",98.61
"Currency","2013/11/04",98.79
"Currency","2013/11/01",98.79
"Currency","2013/10/31",98.41
"Currency","2013/10/30",97.98
"Currency","2013/10/29",98.11
"Currency","2013/10/28",98.44
"Currency","2013/10/25",98.35
"Currency","2013/10/24",98.34
"Currency","2013/10/23",98.55
"Currency","2013/10/22",98.65
"Currency","2013/10/21",98.44
"Currency","2013/10/18",98.04
"Currency","2013/10/17",97.97
"Currency","2013/10/16",98.95
"Currency","2013/10/15",98.95
"Currency","2013/10/14",98.49
"Currency","2013/10/11",97.72
"Currency","2013/10/10",98.23
"Currency","2013/10/09",99.09
"Currency","2013/10/08",98.88
"Currency","2013/10/07",98.87
"Currency","2013/10/04",98.29
"Currency","2013/10/03",98.78
"Currency","2013/10/02",99.94
"Currency","2013/10/01",99.94
"Currency","2013/09/30",100.17
"Currency","2013/09/27",100.03
"Currency","2013/09/26",99.32
"Currency","2013/09/25",99.91
"Currency","2013/09/24",100.41
"Currency","2013/09/23",100.17
"Currency","2013/09/20",99.58
"Currency","2013/09/19",98.84
"Currency","2013/09/18",101.41
"Currency","2013/09/17",101.40
"Currency","2013/09/16",100.54
"Currency","2013/09/13",101.59
"Currency","2013/09/12",101.61
"Currency","2013/09/11",101.41
"Currency","2013/09/10",102.15
"Currency","2013/09/09",103.92
"Currency","2013/09/06",103.92
"Currency","2013/09/05",105.63
"Currency","2013/09/04",107.31
"Currency","2013/09/03",109.20
"Currency","2013/09/02",105.61
"Currency","2013/08/30",105.13
"Currency","2013/08/29",105.61
"Currency","2013/08/28",105.12
"Currency","2013/08/27",105.13
"Currency","2013/08/26",102.57
"Currency","2013/08/23",101.02
"Currency","2013/08/22",102.87
"Currency","2013/08/21",102.59
"Currency","2013/08/20",101.21
"Currency","2013/08/19",101.02
"Currency","2013/08/16",98.65
"Currency","2013/08/15",98.30
"Currency","2013/08/14",98.30
"Currency","2013/08/13",97.91
"Currency","2013/08/12",98.05
"Currency","2013/08/09",97.41
"Currency","2013/08/08",97.41
"Currency","2013/08/07",97.51
"Currency","2013/08/06",97.24
"Currency","2013/08/05",97.41
"Currency","2013/08/02",97.77
"Currency","2013/08/01",96.69
"Currency","2013/07/31",96.65
"Currency","2013/07/30",96.78
"Currency","2013/07/29",95.07
"Currency","2013/07/26",94.47
"Currency","2013/07/25",94.04
"Currency","2013/07/24",94.61
"Currency","2013/07/23",95.63
"Currency","2013/07/22",95.56
"Currency","2013/07/19",94.97
"Currency","2013/07/18",95.48
"Currency","2013/07/17",94.95
"Currency","2013/07/16",94.91
"Currency","2013/07/15",95.83
"Currency","2013/07/12",95.31
"Currency","2013/07/11",95.49
"Currency","2013/07/10",95.46
"Currency","2013/07/09",96.23
"Currency","2013/07/08",96.98
"Currency","2013/07/05",96.37
"Currency","2013/07/04",96.22
"Currency","2013/07/03",96.35
"Currency","2013/07/02",95.47
"Currency","2013/07/01",95.23
"Currency","2013/06/28",95.02
"Currency","2013/06/27",96.31
"Currency","2013/06/26",97.15
"Currency","2013/06/25",95.46
"Currency","2013/06/24",95.50
"Currency","2013/06/21",94.84
"Currency","2013/06/20",95.32
"Currency","2013/06/19",93.95
"Currency","2013/06/18",94.04
"Currency","2013/06/17",92.60
"Currency","2013/06/14",92.03
"Currency","2013/06/13",92.77
"Currency","2013/06/12",92.47
"Currency","2013/06/11",93.43
"Currency","2013/06/10",93.05
"Currency","2013/06/07",91.31
"Currency","2013/06/06",90.95
"Currency","2013/06/05",90.77
"Currency","2013/06/04",90.31
"Currency","2013/06/03",90.83
"Currency","2013/05/31",90.40
"Currency","2013/05/30",90.21
"Currency","2013/05/29",89.88
"Currency","2013/05/28",89.54
"Currency","2013/05/27",88.91
"Currency","2013/05/24",89.01
"Currency","2013/05/23",88.95
"Currency","2013/05/22",88.75
"Currency","2013/05/21",88.66
"Currency","2013/05/20",88.17
"Currency","2013/05/17",87.81
"Currency","2013/05/16",87.65
"Currency","2013/05/15",87.65
"Currency","2013/05/14",87.71
"Currency","2013/05/13",87.57
"Currency","2013/05/10",87.69
"Currency","2013/05/09",86.81
"Currency","2013/05/08",86.67
"Currency","2013/05/07",86.62
"Currency","2013/05/06",86.69
"Currency","2013/05/03",86.30
"Currency","2013/05/02",86.11
"Currency","2013/05/01",86.09
"Currency","2013/04/30",86.09
"Currency","2013/04/29",86.77
"Currency","2013/04/26",87.01
"Currency","2013/04/25",86.76
"Currency","2013/04/24",87.02
"Currency","2013/04/23",87.02
"Currency","2013/04/22",86.63
"Currency","2013/04/19",86.34
"Currency","2013/04/18",86.34
"Currency","2013/04/17",86.74
"Currency","2013/04/16",86.65
"Currency","2013/04/15",87.41
"Currency","2013/04/12",87.24
"Currency","2013/04/11",87.23
"Currency","2013/04/10",87.23
"Currency","2013/04/09",87.34
"Currency","2013/04/08",87.30
"Currency","2013/04/05",87.70
"Currency","2013/04/04",87.80
"Currency","2013/04/03",87.10
"Currency","2013/04/02",86.82
"Currency","2013/04/01",86.86
"Currency","2013/03/29",86.86
"Currency","2013/03/28",86.89
"Currency","2013/03/27",86.99
"Currency","2013/03/26",86.99
"Currency","2013/03/25",86.68
"Currency","2013/03/22",86.94
"Currency","2013/03/21",86.86
"Currency","2013/03/20",86.99
"Currency","2013/03/19",87.00
"Currency","2013/03/18",86.67
"Currency","2013/03/15",86.44
"Currency","2013/03/14",86.97
"Currency","2013/03/13",86.89
"Currency","2013/03/12",86.69
"Currency","2013/03/11",87.06
"Currency","2013/03/08",86.86
"Currency","2013/03/07",87.30
"Currency","2013/03/06",87.55
"Currency","2013/03/05",87.88
"Currency","2013/03/04",87.78
"Currency","2013/03/01",87.85
"Currency","2013/02/28",86.99
"Currency","2013/02/27",86.18
"Currency","2013/02/26",86.55
"Currency","2013/02/25",86.19
"Currency","2013/02/22",86.69
"Currency","2013/02/21",87.16
"Currency","2013/02/20",86.52
"Currency","2013/02/19",86.69
"Currency","2013/02/18",86.69
"Currency","2013/02/15",86.76
"Currency","2013/02/14",86.28
"Currency","2013/02/13",86.12
"Currency","2013/02/12",86.17
"Currency","2013/02/11",86.16
"Currency","2013/02/08",85.61
"Currency","2013/02/07",85.16
"Currency","2013/02/06",85.06
"Currency","2013/02/05",85.02
"Currency","2013/02/04",85.27
"Currency","2013/02/01",85.11
"Currency","2013/01/31",85.16
"Currency","2013/01/30",85.29
"Currency","2013/01/29",86.02
"Currency","2013/01/28",86.27
"Currency","2013/01/25",85.89
"Currency","2013/01/24",85.89
"Currency","2013/01/23",85.88
"Currency","2013/01/22",86.11
"Currency","2013/01/21",86.04
"Currency","2013/01/18",85.94
"Currency","2013/01/17",87.02
"Currency","2013/01/16",87.51
"Currency","2013/01/15",87.39
"Currency","2013/01/14",87.20
"Currency","2013/01/11",87.62
"Currency","2013/01/10",87.31
"Currency","2013/01/09",87.61
"Currency","2013/01/08",87.99
"Currency","2013/01/07",88.36
"Currency","2013/01/04",88.12
"Currency","2013/01/03",87.21
"Currency","2013/01/02",86.97
"Currency","2013/01/01",87.49
"Currency","2012/12/31",87.99
"Currency","2012/12/28",87.61
"Currency","2012/12/27",87.90
"Currency","2012/12/26",87.75
"Currency","2012/12/25",87.93
"Currency","2012/12/24",87.93
"Currency","2012/12/21",88.11
"Currency","2012/12/20",87.77
"Currency","2012/12/19",87.29
"Currency","2012/12/18",87.77
"Currency","2012/12/17",87.77
"Currency","2012/12/14",87.18
"Currency","2012/12/13",87.15
"Currency","2012/12/12",86.92
"Currency","2012/12/11",86.83
"Currency","2012/12/10",87.19
"Currency","2012/12/07",87.16
"Currency","2012/12/06",86.62
"Currency","2012/12/05",87.27
"Currency","2012/12/04",87.49
"Currency","2012/12/03",87.64
"Currency","2012/11/30",86.82
"Currency","2012/11/29",87.75
"Currency","2012/11/28",88.73
"Currency","2012/11/27",88.73
"Currency","2012/11/26",89.18
"Currency","2012/11/23",88.87
"Currency","2012/11/22",88.35
"Currency","2012/11/21",88.18
"Currency","2012/11/20",88.17
"Currency","2012/11/19",88.11
"Currency","2012/11/16",88.27
"Currency","2012/11/15",87.53
"Currency","2012/11/14",87.82
"Currency","2012/11/13",87.82
"Currency","2012/11/12",87.82
"Currency","2012/11/09",87.61
"Currency","2012/11/08",86.98
"Currency","2012/11/07",86.73
"Currency","2012/11/06",87.08
"Currency","2012/11/05",87.37
"Currency","2012/11/04",86.42
"Currency","2012/11/02",86.11
"Currency","2012/11/01",85.13
"Currency","2012/10/31",86.09
"Currency","2012/10/30",86.35
"Currency","2012/10/29",86.53
"Currency","2012/10/28",85.42
"Currency","2012/10/26",85.69
"Currency","2012/10/25",85.69
"Currency","2012/10/24",85.98
"Currency","2012/10/23",85.96
"Currency","2012/10/22",85.56
"Currency","2012/10/21",86.55
"Currency","2012/10/19",86.15
"Currency","2012/10/18",85.47
"Currency","2012/10/17",84.60
"Currency","2012/10/16",84.60
"Currency","2012/10/15",84.83
"Currency","2012/10/14",84.75
"Currency","2012/10/12",84.50
"Currency","2012/10/11",84.28
"Currency","2012/10/10",84.88
"Currency","2012/10/09",84.36
"Currency","2012/10/08",84.23
"Currency","2012/10/07",82.93
"Currency","2012/10/05",82.97
"Currency","2012/10/04",82.79
"Currency","2012/10/03",83.45
"Currency","2012/10/02",83.85
"Currency","2012/10/01",83.85
"Currency","2012/09/30",84.41
"Currency","2012/09/28",84.57
"Currency","2012/09/27",84.82
"Currency","2012/09/26",85.62
"Currency","2012/09/25",85.38
"Currency","2012/09/24",85.56
"Currency","2012/09/23",85.52
"Currency","2012/09/21",85.53
"Currency","2012/09/20",87.01
"Currency","2012/09/19",86.44
"Currency","2012/09/18",86.44
"Currency","2012/09/17",86.43
"Currency","2012/09/16",86.69
"Currency","2012/09/14",86.89
"Currency","2012/09/13",88.68
"Currency","2012/09/12",88.34
"Currency","2012/09/11",88.55
"Currency","2012/09/10",88.71
"Currency","2012/09/09",87.76
"Currency","2012/09/07",88.58
"Currency","2012/09/06",89.06
"Currency","2012/09/05",89.46
"Currency","2012/09/04",89.05
"Currency","2012/09/03",88.86
"Currency","2012/09/02",89.03
"Currency","2012/08/31",88.84
"Currency","2012/08/30",89.01
"Currency","2012/08/29",89.01
"Currency","2012/08/28",89.07
"Currency","2012/08/27",89.11
"Currency","2012/08/26",88.94
"Currency","2012/08/24",88.81
"Currency","2012/08/23",88.43
"Currency","2012/08/22",88.80
"Currency","2012/08/21",88.22
"Currency","2012/08/20",89.18
"Currency","2012/08/19",89.17
"Currency","2012/08/17",89.17
"Currency","2012/08/16",89.21
"Currency","2012/08/15",89.05
"Currency","2012/08/14",89.05
"Currency","2012/08/13",88.55
"Currency","2012/08/12",88.27
"Currency","2012/08/10",88.45
"Currency","2012/08/09",88.44
"Currency","2012/08/08",88.68
"Currency","2012/08/07",88.11
"Currency","2012/08/06",88.84
"Currency","2012/08/05",88.44
"Currency","2012/08/03",89.21
"Currency","2012/08/02",89.35
"Currency","2012/08/01",88.76
"Currency","2012/07/31",88.62
"Currency","2012/07/30",88.62
"Currency","2012/07/29",88.49
"Currency","2012/07/27",88.53
"Currency","2012/07/26",88.84
"Currency","2012/07/25",88.62
"Currency","2012/07/24",88.62
"Currency","2012/07/23",88.99
"Currency","2012/07/22",89.06
"Currency","2012/07/20",88.52
"Currency","2012/07/19",88.63
"Currency","2012/07/18",88.62
"Currency","2012/07/17",88.63
"Currency","2012/07/16",88.63
"Currency","2012/07/15",87.89
"Currency","2012/07/13",88.23
"Currency","2012/07/12",88.62
"Currency","2012/07/11",88.62
"Currency","2012/07/10",88.63
"Currency","2012/07/09",86.12
"Currency","2012/07/08",86.74
"Currency","2012/07/06",86.12
"Currency","2012/07/05",86.12
"Currency","2012/07/04",86.12
"Currency","2012/07/03",86.12
"Currency","2012/07/02",86.13
"Currency","2012/07/01",85.56
"Currency","2012/06/29",86.13
"Currency","2012/06/28",86.13
"Currency","2012/06/27",86.13
"Currency","2012/06/26",86.13
"Currency","2012/06/25",86.13
"Currency","2012/06/24",85.98
"Currency","2012/06/22",86.12
"Currency","2012/06/21",86.12
"Currency","2012/06/20",86.12
"Currency","2012/06/19",86.12
"Currency","2012/06/18",86.12
"Currency","2012/06/17",85.98
"Currency","2012/06/15",86.13
"Currency","2012/06/14",86.13
"Currency","2012/06/13",86.12
"Currency","2012/06/12",86.12
"Currency","2012/06/11",86.23
"Currency","2012/06/10",85.82
"Currency","2012/06/08",86.23
"Currency","2012/06/07",86.22
"Currency","2012/06/06",86.23
"Currency","2012/06/05",86.22
"Currency","2012/06/04",86.23
"Currency","2012/06/03",85.38
"Currency","2012/06/01",86.22
"Currency","2012/05/31",86.13
"Currency","2012/05/30",86.13
"Currency","2012/05/29",86.13
"Currency","2012/05/28",86.38
"Currency","2012/05/27",87.51
"Currency","2012/05/25",86.37
"Currency","2012/05/24",87.12
"Currency","2012/05/23",87.12
"Currency","2012/05/22",87.13
"Currency","2012/05/21",85.92
"Currency","2012/05/20",86.46
"Currency","2012/05/18",86.52
"Currency","2012/05/17",87.16
"Currency","2012/05/16",86.62
"Currency","2012/05/15",85.74
"Currency","2012/05/14",86.35
"Currency","2012/05/13",86.01
"Currency","2012/05/11",85.81
"Currency","2012/05/10",85.51
"Currency","2012/05/09",86.12
"Currency","2012/05/08",85.00
"Currency","2012/05/07",84.12
"Currency","2012/05/06",85.98
"Currency","2012/05/04",85.22
"Currency","2012/05/03",85.47
"Currency","2012/05/02",84.75
"Currency","2012/05/01",83.87
"Currency","2012/04/30",83.87
"Currency","2012/04/29",84.18
"Currency","2012/04/27",84.07
"Currency","2012/04/26",83.12
"Currency","2012/04/25",84.07
"Currency","2012/04/24",83.72
"Currency","2012/04/23",84.01
"Currency","2012/04/22",82.95
"Currency","2012/04/20",83.32
"Currency","2012/04/19",83.43
"Currency","2012/04/18",81.92
"Currency","2012/04/17",81.92
"Currency","2012/04/16",82.68
"Currency","2012/04/15",82.97
"Currency","2012/04/13",82.07
"Currency","2012/04/12",82.55
"Currency","2012/04/11",82.28
"Currency","2012/04/10",82.37
"Currency","2012/04/09",81.32
"Currency","2012/04/08",81.14
"Currency","2012/04/06",81.13
"Currency","2012/04/05",81.13
"Currency","2012/04/04",81.12
"Currency","2012/04/03",80.13
"Currency","2012/04/02",81.40
"Currency","2012/04/01",81.23
"Currency","2012/03/30",81.40
"Currency","2012/03/29",81.12
"Currency","2012/03/28",81.25
"Currency","2012/03/27",81.09
"Currency","2012/03/26",81.12
"Currency","2012/03/25",81.63
"Currency","2012/03/23",81.88
"Currency","2012/03/22",81.88
"Currency","2012/03/21",81.06
"Currency","2012/03/20",80.13
"Currency","2012/03/19",80.38
"Currency","2012/03/18",79.66
"Currency","2012/03/16",80.29
"Currency","2012/03/15",80.62
"Currency","2012/03/14",79.87
"Currency","2012/03/13",79.88
"Currency","2012/03/12",79.96
"Currency","2012/03/11",79.76
"Currency","2012/03/09",79.32
"Currency","2012/03/08",79.62
"Currency","2012/03/07",80.45
"Currency","2012/03/06",80.59
"Currency","2012/03/05",79.75
"Currency","2012/03/04",79.41
"Currency","2012/03/02",79.21
"Currency","2012/03/01",78.12
"Currency","2012/02/29",78.42
"Currency","2012/02/28",78.52
"Currency","2012/02/27",78.76
"Currency","2012/02/26",78.07
"Currency","2012/02/24",78.29
"Currency","2012/02/23",78.12
"Currency","2012/02/22",78.12
"Currency","2012/02/21",78.12
"Currency","2012/02/20",78.74
"Currency","2012/02/19",78.78
"Currency","2012/02/17",78.84
"Currency","2012/02/16",78.37
"Currency","2012/02/15",78.86
"Currency","2012/02/14",78.98
"Currency","2012/02/13",78.71
"Currency","2012/02/12",79.28
"Currency","2012/02/10",78.63
"Currency","2012/02/09",78.62
"Currency","2012/02/08",79.63
"Currency","2012/02/07",78.73
"Currency","2012/02/06",78.50
"Currency","2012/02/05",78.24
"Currency","2012/02/03",77.38
"Currency","2012/02/02",77.92
"Currency","2012/02/01",78.07
"Currency","2012/01/31",79.11
"Currency","2012/01/30",78.37
"Currency","2012/01/29",78.57
"Currency","2012/01/27",78.89
"Currency","2012/01/26",79.22
"Currency","2012/01/25",79.62
"Currency","2012/01/24",79.62
"Currency","2012/01/23",79.62
"Currency","2012/01/22",80.25
"Currency","2012/01/20",80.52
"Currency","2012/01/19",79.63
"Currency","2012/01/18",80.63
"Currency","2012/01/17",80.62
"Currency","2012/01/16",82.19
"Currency","2012/01/15",83.21
"Currency","2012/01/13",81.62
"Currency","2012/01/12",81.62
"Currency","2012/01/11",81.62
"Currency","2012/01/10",81.63
"Currency","2012/01/09",83.37
"Currency","2012/01/08",84.80
"Currency","2012/01/06",83.37
"Currency","2012/01/05",84.32
"Currency","2012/01/04",84.42
"Currency","2012/01/03",84.42
"Currency","2012/01/02",85.29
"Currency","2012/01/01",84.73
"Currency","2011/12/30",84.97
"Currency","2011/12/29",84.55
"Currency","2011/12/28",84.77
"Currency","2011/12/27",84.82
"Currency","2011/12/26",84.89
"Currency","2011/12/25",84.89
"Currency","2011/12/23",84.73
"Currency","2011/12/22",84.31
"Currency","2011/12/21",84.01
"Currency","2011/12/20",84.65
"Currency","2011/12/19",84.50
"Currency","2011/12/18",84.35
"Currency","2011/12/16",84.30
"Currency","2011/12/15",85.59
"Currency","2011/12/14",86.21
"Currency","2011/12/13",86.04
"Currency","2011/12/12",85.06
"Currency","2011/12/11",83.49
"Currency","2011/12/09",83.25
"Currency","2011/12/08",82.69
"Currency","2011/12/07",82.75
"Currency","2011/12/06",81.89
"Currency","2011/12/05",82.27
"Currency","2011/12/04",82.63
"Currency","2011/12/02",81.77
"Currency","2011/12/01",82.35
"Currency","2011/11/30",83.87
"Currency","2011/11/29",83.48
"Currency","2011/11/28",83.51
"Currency","2011/11/27",83.96
"Currency","2011/11/25",83.91
"Currency","2011/11/24",83.35
"Currency","2011/11/23",83.79
"Currency","2011/11/22",83.74
"Currency","2011/11/21",83.49
"Currency","2011/11/20",82.57
"Currency","2011/11/18",82.25
"Currency","2011/11/17",81.54
"Currency","2011/11/16",81.16
"Currency","2011/11/15",81.15
"Currency","2011/11/14",80.49
"Currency","2011/11/13",79.53
"Currency","2011/11/11",80.15
"Currency","2011/11/10",79.43
"Currency","2011/11/09",80.34
"Currency","2011/11/08",79.15
"Currency","2011/11/07",78.55
"Currency","2011/11/06",79.04
"Currency","2011/11/04",78.65
"Currency","2011/11/03",78.54
"Currency","2011/11/02",78.71
"Currency","2011/11/01",78.91
"Currency","2011/10/31",77.94
"Currency","2011/10/30",78.00
"Currency","2011/10/28",78.04
"Currency","2011/10/27",79.15
"Currency","2011/10/26",79.12
"Currency","2011/10/25",79.23
"Currency","2011/10/24",79.95
"Currency","2011/10/23",79.70
"Currency","2011/10/21",80.47
"Currency","2011/10/20",79.78
"Currency","2011/10/19",78.80
"Currency","2011/10/18",78.98
"Currency","2011/10/17",77.94
"Currency","2011/10/16",78.01
"Currency","2011/10/14",78.39
"Currency","2011/10/13",78.84
"Currency","2011/10/12",78.31
"Currency","2011/10/11",78.75
"Currency","2011/10/10",78.24
"Currency","2011/10/09",78.34
"Currency","2011/10/07",78.70
"Currency","2011/10/06",79.02
"Currency","2011/10/05",79.64
"Currency","2011/10/04",77.76
"Currency","2011/10/03",78.68
"Currency","2011/10/02",76.17
"Currency","2011/09/30",76.17
"Currency","2011/09/29",78.18
"Currency","2011/09/28",77.90
"Currency","2011/09/27",78.29
"Currency","2011/09/26",79.55
"Currency","2011/09/25",78.13
"Currency","2011/09/23",78.43
"Currency","2011/09/22",78.95
"Currency","2011/09/21",77.15
"Currency","2011/09/20",76.64
"Currency","2011/09/19",76.53
"Currency","2011/09/18",75.56
"Currency","2011/09/16",75.56
"Currency","2011/09/15",76.08
"Currency","2011/09/14",76.15
"Currency","2011/09/13",76.20
"Currency","2011/09/12",75.56
"Currency","2011/09/11",75.25
"Currency","2011/09/09",74.52
"Currency","2011/09/08",74.06
"Currency","2011/09/07",73.80
"Currency","2011/09/06",73.52
"Currency","2011/09/05",73.66
"Currency","2011/09/04",73.66
"Currency","2011/09/02",73.38
"Currency","2011/09/01",72.90
"Currency","2011/08/31",72.86
"Currency","2011/08/30",73.82
"Currency","2011/08/29",73.73
"Currency","2011/08/28",73.73
"Currency","2011/08/26",73.87
"Currency","2011/08/25",73.52
"Currency","2011/08/24",73.62
"Currency","2011/08/23",72.89
"Currency","2011/08/22",73.15
"Currency","2011/08/21",72.76
"Currency","2011/08/19",73.18
"Currency","2011/08/18",73.14
"Currency","2011/08/17",72.78
"Currency","2011/08/16",72.16
"Currency","2011/08/15",71.78
"Currency","2011/08/14",72.71
"Currency","2011/08/12",72.77
"Currency","2011/08/11",72.39
"Currency","2011/08/10",72.48
"Currency","2011/08/09",72.14
"Currency","2011/08/08",72.15
"Currency","2011/08/07",71.62
"Currency","2011/08/05",71.58
"Currency","2011/08/04",71.87
"Currency","2011/08/03",70.91
