"Indicator","Time","Value (USD/BDT)"
"Currency","2017/09/06",81.18
"Currency","2017/09/05",81.21
"Currency","2017/09/04",81.17
"Currency","2017/09/01",80.66
"Currency","2017/08/31",80.67
"Currency","2017/08/30",81.05
"Currency","2017/08/29",81.07
"Currency","2017/08/28",80.99
"Currency","2017/08/25",80.82
"Currency","2017/08/24",81.07
"Currency","2017/08/23",81.01
"Currency","2017/08/22",81.20
"Currency","2017/08/21",81.16
"Currency","2017/08/18",80.97
"Currency","2017/08/17",80.96
"Currency","2017/08/16",80.78
"Currency","2017/08/15",80.62
"Currency","2017/08/14",80.66
"Currency","2017/08/12",80.72
"Currency","2017/08/11",80.72
"Currency","2017/08/10",80.74
"Currency","2017/08/09",80.76
"Currency","2017/08/08",80.83
"Currency","2017/08/07",80.62
"Currency","2017/08/04",80.82
"Currency","2017/08/03",80.86
"Currency","2017/08/02",80.63
"Currency","2017/08/01",81.10
"Currency","2017/07/31",81.20
"Currency","2017/07/28",80.57
"Currency","2017/07/27",80.56
"Currency","2017/07/26",80.63
"Currency","2017/07/25",81.02
"Currency","2017/07/24",80.62
"Currency","2017/07/21",80.57
"Currency","2017/07/20",80.54
"Currency","2017/07/19",80.67
"Currency","2017/07/18",80.61
"Currency","2017/07/17",80.76
"Currency","2017/07/14",81.05
"Currency","2017/07/13",80.97
"Currency","2017/07/12",81.27
"Currency","2017/07/11",81.30
"Currency","2017/07/10",81.06
"Currency","2017/07/07",81.03
"Currency","2017/07/06",81.07
"Currency","2017/07/05",80.74
"Currency","2017/07/04",80.55
"Currency","2017/07/03",80.70
"Currency","2017/06/30",80.57
"Currency","2017/06/29",80.72
"Currency","2017/06/28",80.68
"Currency","2017/06/27",80.69
"Currency","2017/06/26",80.69
"Currency","2017/06/23",80.69
"Currency","2017/06/22",80.68
"Currency","2017/06/21",80.64
"Currency","2017/06/20",80.67
"Currency","2017/06/19",80.73
"Currency","2017/06/17",80.69
"Currency","2017/06/16",80.69
"Currency","2017/06/15",80.76
"Currency","2017/06/14",80.71
"Currency","2017/06/13",80.61
"Currency","2017/06/12",80.77
"Currency","2017/06/09",80.72
"Currency","2017/06/08",80.74
"Currency","2017/06/07",80.69
"Currency","2017/06/06",80.67
"Currency","2017/06/05",80.72
"Currency","2017/06/02",80.70
"Currency","2017/06/01",80.67
"Currency","2017/05/31",80.67
"Currency","2017/05/30",80.62
"Currency","2017/05/29",80.64
"Currency","2017/05/26",80.66
"Currency","2017/05/25",80.62
"Currency","2017/05/24",80.62
"Currency","2017/05/23",80.59
"Currency","2017/05/22",80.62
"Currency","2017/05/20",80.62
"Currency","2017/05/19",80.62
"Currency","2017/05/18",80.62
"Currency","2017/05/17",80.66
"Currency","2017/05/15",81.28
"Currency","2017/05/12",81.40
"Currency","2017/05/11",80.45
"Currency","2017/05/10",81.36
"Currency","2017/05/09",81.24
"Currency","2017/05/08",81.44
"Currency","2017/05/05",81.44
"Currency","2017/05/04",82.58
"Currency","2017/05/03",82.62
"Currency","2017/05/02",82.32
"Currency","2017/05/01",82.12
"Currency","2017/04/28",82.10
"Currency","2017/04/27",82.17
"Currency","2017/04/26",84.10
"Currency","2017/04/21",82.72
"Currency","2017/04/20",82.67
"Currency","2017/04/19",81.76
"Currency","2017/04/18",81.61
"Currency","2017/04/17",80.73
"Currency","2017/04/14",80.87
"Currency","2017/04/13",80.89
"Currency","2017/04/12",80.91
"Currency","2017/04/11",80.51
"Currency","2017/04/10",80.51
"Currency","2017/04/07",80.34
"Currency","2017/04/06",80.32
"Currency","2017/04/05",80.31
"Currency","2017/04/04",80.14
"Currency","2017/04/03",80.24
"Currency","2017/03/31",80.19
"Currency","2017/03/30",80.11
"Currency","2017/03/29",80.19
"Currency","2017/03/28",80.19
"Currency","2017/03/27",80.11
"Currency","2017/03/25",80.19
"Currency","2017/03/24",80.19
"Currency","2017/03/23",80.18
"Currency","2017/03/22",79.69
"Currency","2017/03/21",80.12
"Currency","2017/03/20",80.11
"Currency","2017/03/17",80.13
"Currency","2017/03/16",79.51
"Currency","2017/03/15",80.24
"Currency","2017/03/14",80.16
"Currency","2017/03/13",80.14
"Currency","2017/03/10",80.09
"Currency","2017/03/09",79.97
"Currency","2017/03/08",80.13
"Currency","2017/03/07",79.98
