"Indicator","Time","Value (USD/LKR)"
"Currency","2011/12/23",113.74
"Currency","2011/12/22",113.60
"Currency","2011/12/21",113.62
"Currency","2011/12/20",113.67
"Currency","2011/12/19",113.61
"Currency","2011/12/16",113.63
"Currency","2011/12/15",113.64
"Currency","2011/12/14",113.70
"Currency","2011/12/13",111.91
"Currency","2011/12/12",111.09
"Currency","2011/12/09",113.75
"Currency","2011/12/08",113.61
"Currency","2011/12/07",113.58
"Currency","2011/12/06",113.74
"Currency","2011/12/05",112.25
"Currency","2011/12/02",113.63
"Currency","2011/12/01",113.68
"Currency","2011/11/30",113.61
"Currency","2011/11/29",113.78
"Currency","2011/11/28",113.87
"Currency","2011/11/25",113.74
"Currency","2011/11/24",113.77
"Currency","2011/11/23",113.72
"Currency","2011/11/22",110.23
"Currency","2011/11/21",108.36
"Currency","2011/11/18",109.92
"Currency","2011/11/17",109.91
"Currency","2011/11/16",110.05
"Currency","2011/11/15",109.93
"Currency","2011/11/14",106.73
"Currency","2011/11/11",109.88
"Currency","2011/11/10",109.92
"Currency","2011/11/09",109.92
"Currency","2011/11/08",109.76
"Currency","2011/11/07",107.94
"Currency","2011/11/04",110.03
"Currency","2011/11/03",110.05
"Currency","2011/11/02",110.05
"Currency","2011/11/01",109.93
"Currency","2011/10/31",107.70
"Currency","2011/10/28",109.85
"Currency","2011/10/27",109.85
"Currency","2011/10/26",109.85
"Currency","2011/10/25",109.83
"Currency","2011/10/24",106.55
"Currency","2011/10/21",110.04
"Currency","2011/10/20",109.82
"Currency","2011/10/19",110.04
"Currency","2011/10/18",110.05
"Currency","2011/10/17",107.15
"Currency","2011/10/14",110.03
"Currency","2011/10/13",110.05
"Currency","2011/10/12",110.08
"Currency","2011/10/11",110.01
"Currency","2011/10/10",110.06
"Currency","2011/10/07",110.10
"Currency","2011/10/06",110.05
"Currency","2011/10/05",106.22
"Currency","2011/10/04",110.10
"Currency","2011/10/03",110.05
"Currency","2011/09/30",109.82
"Currency","2011/09/29",110.06
"Currency","2011/09/28",110.16
"Currency","2011/09/27",109.82
"Currency","2011/09/26",107.35
"Currency","2011/09/23",110.15
"Currency","2011/09/22",110.01
"Currency","2011/09/21",109.93
"Currency","2011/09/20",109.83
"Currency","2011/09/19",109.84
"Currency","2011/09/16",109.93
"Currency","2011/09/15",109.82
"Currency","2011/09/14",109.97
"Currency","2011/09/13",109.93
"Currency","2011/09/12",108.79
"Currency","2011/09/09",109.82
"Currency","2011/09/08",109.83
"Currency","2011/09/07",109.84
"Currency","2011/09/06",109.95
"Currency","2011/09/05",107.90
"Currency","2011/09/02",109.85
"Currency","2011/09/01",109.50
"Currency","2011/08/31",109.57
"Currency","2011/08/30",109.77
"Currency","2011/08/29",107.12
"Currency","2011/08/26",109.86
"Currency","2011/08/25",109.76
"Currency","2011/08/24",109.85
"Currency","2011/08/23",109.81
"Currency","2011/08/22",106.86
"Currency","2011/08/19",109.81
"Currency","2011/08/18",107.53
"Currency","2011/08/17",107.24
"Currency","2011/08/16",106.34
"Currency","2011/08/15",109.42
"Currency","2011/08/12",109.52
"Currency","2011/08/11",109.55
"Currency","2011/08/10",109.65
"Currency","2011/08/09",109.62
"Currency","2011/08/08",106.37
"Currency","2011/08/05",109.52
"Currency","2011/08/04",109.55
"Currency","2011/08/03",109.12
"Currency","2011/08/02",109.17
"Currency","2011/08/01",105.84
"Currency","2011/07/29",109.28
"Currency","2011/07/28",109.35
"Currency","2011/07/27",109.32
"Currency","2011/07/26",109.34
"Currency","2011/07/25",107.37
"Currency","2011/07/22",109.37
"Currency","2011/07/21",109.43
"Currency","2011/07/20",109.34
"Currency","2011/07/19",109.36
"Currency","2011/07/18",106.95
"Currency","2011/07/15",109.46
"Currency","2011/07/14",109.46
"Currency","2011/07/13",109.43
"Currency","2011/07/12",109.36
"Currency","2011/07/11",107.10
"Currency","2011/07/08",109.37
"Currency","2011/07/07",109.37
"Currency","2011/07/06",109.36
"Currency","2011/07/05",109.36
"Currency","2011/07/04",106.79
"Currency","2011/07/01",106.78
"Currency","2011/06/30",109.47
"Currency","2011/06/29",109.55
"Currency","2011/06/28",109.55
"Currency","2011/06/27",107.24
"Currency","2011/06/24",109.46
"Currency","2011/06/23",109.47
"Currency","2011/06/22",109.43
"Currency","2011/06/21",109.44
"Currency","2011/06/20",106.95
"Currency","2011/06/17",109.43
"Currency","2011/06/16",109.41
"Currency","2011/06/15",109.41
"Currency","2011/06/14",109.38
"Currency","2011/06/13",109.41
"Currency","2011/06/10",109.31
"Currency","2011/06/09",109.33
"Currency","2011/06/08",109.45
"Currency","2011/06/07",109.44
"Currency","2011/06/06",106.26
"Currency","2011/06/03",109.61
"Currency","2011/06/02",109.54
"Currency","2011/06/01",109.56
"Currency","2011/05/31",109.63
"Currency","2011/05/30",106.80
"Currency","2011/05/27",109.73
"Currency","2011/05/26",109.81
"Currency","2011/05/25",109.83
"Currency","2011/05/24",109.75
"Currency","2011/05/23",107.96
"Currency","2011/05/22",109.82
"Currency","2011/05/20",109.61
"Currency","2011/05/19",109.66
"Currency","2011/05/18",109.19
"Currency","2011/05/17",109.66
"Currency","2011/05/16",108.60
"Currency","2011/05/15",109.91
"Currency","2011/05/13",109.62
"Currency","2011/05/12",109.56
"Currency","2011/05/11",109.58
"Currency","2011/05/10",109.64
"Currency","2011/05/09",108.82
"Currency","2011/05/08",109.81
"Currency","2011/05/06",109.57
"Currency","2011/05/05",109.61
"Currency","2011/05/04",109.67
"Currency","2011/05/03",109.67
"Currency","2011/05/02",107.93
"Currency","2011/05/01",109.86
"Currency","2011/04/29",109.57
"Currency","2011/04/28",109.97
"Currency","2011/04/27",110.04
"Currency","2011/04/26",108.22
"Currency","2011/04/25",110.04
"Currency","2011/04/24",110.37
"Currency","2011/04/22",110.16
"Currency","2011/04/21",110.16
"Currency","2011/04/20",110.24
"Currency","2011/04/19",110.23
"Currency","2011/04/18",108.13
"Currency","2011/04/17",110.43
"Currency","2011/04/15",110.41
"Currency","2011/04/14",110.26
"Currency","2011/04/13",110.00
"Currency","2011/04/12",110.14
"Currency","2011/04/11",107.37
"Currency","2011/04/10",110.41
"Currency","2011/04/08",110.23
"Currency","2011/04/07",110.07
"Currency","2011/04/06",110.20
"Currency","2011/04/05",110.29
"Currency","2011/04/04",107.26
"Currency","2011/04/03",110.14
"Currency","2011/04/01",110.25
"Currency","2011/03/31",110.21
"Currency","2011/03/30",110.23
"Currency","2011/03/29",110.26
"Currency","2011/03/28",108.46
"Currency","2011/03/25",110.28
"Currency","2011/03/24",110.33
"Currency","2011/03/23",110.28
"Currency","2011/03/22",110.33
"Currency","2011/03/21",107.62
"Currency","2011/03/20",110.43
"Currency","2011/03/18",110.26
"Currency","2011/03/17",110.13
"Currency","2011/03/16",110.27
"Currency","2011/03/15",110.13
"Currency","2011/03/14",106.49
"Currency","2011/03/13",110.00
"Currency","2011/03/11",109.93
"Currency","2011/03/10",109.93
"Currency","2011/03/09",110.00
"Currency","2011/03/08",110.23
"Currency","2011/03/07",107.70
"Currency","2011/03/06",110.35
"Currency","2011/03/04",110.60
"Currency","2011/03/03",110.68
"Currency","2011/03/02",110.68
"Currency","2011/03/01",110.70
"Currency","2011/02/28",110.63
"Currency","2011/02/27",110.78
"Currency","2011/02/25",110.72
"Currency","2011/02/24",110.50
"Currency","2011/02/23",110.83
"Currency","2011/02/22",110.78
"Currency","2011/02/21",107.13
"Currency","2011/02/20",110.87
"Currency","2011/02/18",110.69
"Currency","2011/02/17",110.69
"Currency","2011/02/16",110.69
"Currency","2011/02/15",110.69
"Currency","2011/02/14",108.24
"Currency","2011/02/13",111.01
"Currency","2011/02/11",110.97
"Currency","2011/02/10",110.90
"Currency","2011/02/09",110.82
"Currency","2011/02/08",110.35
"Currency","2011/02/07",108.63
"Currency","2011/02/06",110.71
"Currency","2011/02/04",110.79
"Currency","2011/02/03",110.90
"Currency","2011/02/02",110.69
"Currency","2011/02/01",110.71
"Currency","2011/01/31",109.39
"Currency","2011/01/30",111.08
"Currency","2011/01/28",111.03
"Currency","2011/01/27",110.72
"Currency","2011/01/26",110.83
"Currency","2011/01/25",110.80
"Currency","2011/01/24",110.82
"Currency","2011/01/23",110.49
"Currency","2011/01/21",108.62
"Currency","2011/01/20",110.73
"Currency","2011/01/19",110.74
"Currency","2011/01/18",110.74
"Currency","2011/01/17",108.41
"Currency","2011/01/16",111.04
"Currency","2011/01/14",110.70
"Currency","2011/01/13",106.69
"Currency","2011/01/12",110.45
"Currency","2011/01/11",110.73
"Currency","2011/01/10",108.58
"Currency","2011/01/09",110.86
"Currency","2011/01/07",110.78
"Currency","2011/01/06",110.75
"Currency","2011/01/05",110.78
"Currency","2011/01/04",110.88
"Currency","2011/01/03",108.28
"Currency","2011/01/02",110.92
"Currency","2010/12/31",110.88
"Currency","2010/12/30",110.87
"Currency","2010/12/29",110.88
"Currency","2010/12/28",111.13
"Currency","2010/12/27",108.49
"Currency","2010/12/26",111.16
"Currency","2010/12/24",110.98
"Currency","2010/12/23",111.19
"Currency","2010/12/22",111.18
"Currency","2010/12/21",111.10
"Currency","2010/12/20",109.28
"Currency","2010/12/19",111.15
"Currency","2010/12/17",110.98
"Currency","2010/12/16",110.87
"Currency","2010/12/15",110.85
"Currency","2010/12/14",110.74
"Currency","2010/12/13",110.84
"Currency","2010/12/12",110.89
"Currency","2010/12/10",110.93
"Currency","2010/12/09",110.98
"Currency","2010/12/08",111.08
"Currency","2010/12/07",111.13
"Currency","2010/12/06",107.24
"Currency","2010/12/05",111.28
"Currency","2010/12/03",111.20
"Currency","2010/12/02",111.12
"Currency","2010/12/01",111.30
"Currency","2010/11/30",111.38
"Currency","2010/11/29",111.31
"Currency","2010/11/28",111.45
"Currency","2010/11/26",111.25
"Currency","2010/11/25",111.07
"Currency","2010/11/24",111.28
"Currency","2010/11/23",111.33
"Currency","2010/11/22",108.95
"Currency","2010/11/21",111.01
"Currency","2010/11/19",111.63
"Currency","2010/11/18",111.39
"Currency","2010/11/17",111.63
"Currency","2010/11/16",111.64
"Currency","2010/11/15",109.15
"Currency","2010/11/14",111.64
"Currency","2010/11/12",111.50
"Currency","2010/11/11",111.58
"Currency","2010/11/10",111.54
"Currency","2010/11/09",111.43
"Currency","2010/11/08",111.34
"Currency","2010/11/07",111.47
"Currency","2010/11/05",111.39
"Currency","2010/11/04",111.62
"Currency","2010/11/03",111.63
"Currency","2010/11/02",111.58
"Currency","2010/11/01",108.47
"Currency","2010/10/31",111.64
"Currency","2010/10/29",111.58
"Currency","2010/10/28",111.47
"Currency","2010/10/27",111.60
"Currency","2010/10/26",111.60
"Currency","2010/10/25",108.87
"Currency","2010/10/24",111.66
"Currency","2010/10/22",111.68
"Currency","2010/10/21",111.61
"Currency","2010/10/20",111.70
"Currency","2010/10/19",108.78
"Currency","2010/10/18",110.17
"Currency","2010/10/17",111.97
"Currency","2010/10/15",111.54
"Currency","2010/10/14",111.64
"Currency","2010/10/13",111.54
"Currency","2010/10/12",111.61
"Currency","2010/10/11",108.81
"Currency","2010/10/10",111.33
"Currency","2010/10/08",111.66
"Currency","2010/10/07",111.68
"Currency","2010/10/06",111.52
"Currency","2010/10/05",111.64
"Currency","2010/10/04",108.72
"Currency","2010/10/03",111.80
"Currency","2010/10/01",111.64
"Currency","2010/09/30",111.68
"Currency","2010/09/29",111.69
"Currency","2010/09/28",111.69
"Currency","2010/09/27",108.93
"Currency","2010/09/26",112.19
"Currency","2010/09/24",112.34
"Currency","2010/09/23",109.59
"Currency","2010/09/22",112.30
"Currency","2010/09/21",112.29
"Currency","2010/09/20",110.24
"Currency","2010/09/19",112.93
"Currency","2010/09/17",112.26
"Currency","2010/09/16",112.43
"Currency","2010/09/15",112.34
"Currency","2010/09/14",112.34
"Currency","2010/09/13",110.09
"Currency","2010/09/12",112.38
"Currency","2010/09/10",112.34
"Currency","2010/09/09",112.63
"Currency","2010/09/08",112.53
"Currency","2010/09/07",112.38
"Currency","2010/09/06",112.63
"Currency","2010/09/05",112.70
"Currency","2010/09/03",112.50
"Currency","2010/09/02",112.68
"Currency","2010/09/01",112.68
"Currency","2010/08/31",112.62
"Currency","2010/08/30",109.45
"Currency","2010/08/29",112.19
"Currency","2010/08/27",112.44
"Currency","2010/08/26",112.51
"Currency","2010/08/25",112.38
"Currency","2010/08/24",112.38
"Currency","2010/08/23",109.35
"Currency","2010/08/22",112.25
"Currency","2010/08/20",112.22
"Currency","2010/08/19",112.38
"Currency","2010/08/18",112.33
"Currency","2010/08/17",112.38
"Currency","2010/08/16",109.92
"Currency","2010/08/15",112.30
"Currency","2010/08/13",112.25
"Currency","2010/08/12",112.24
"Currency","2010/08/11",112.25
"Currency","2010/08/10",112.23
"Currency","2010/08/09",108.69
"Currency","2010/08/08",112.38
"Currency","2010/08/06",112.28
"Currency","2010/08/05",112.28
"Currency","2010/08/04",112.27
"Currency","2010/08/03",112.27
"Currency","2010/08/02",112.41
"Currency","2010/08/01",112.78
"Currency","2010/07/30",112.73
"Currency","2010/07/29",112.50
"Currency","2010/07/28",112.48
"Currency","2010/07/27",112.73
"Currency","2010/07/26",112.78
"Currency","2010/07/25",113.40
"Currency","2010/07/23",112.59
"Currency","2010/07/22",112.70
"Currency","2010/07/21",112.70
"Currency","2010/07/20",112.78
"Currency","2010/07/19",112.68
"Currency","2010/07/18",110.39
"Currency","2010/07/16",112.68
"Currency","2010/07/15",112.75
"Currency","2010/07/14",112.95
"Currency","2010/07/13",113.04
"Currency","2010/07/12",113.10
"Currency","2010/07/11",113.49
"Currency","2010/07/09",113.35
"Currency","2010/07/08",113.23
"Currency","2010/07/07",113.33
"Currency","2010/07/06",113.35
"Currency","2010/07/05",113.33
"Currency","2010/07/04",113.39
"Currency","2010/07/02",113.31
"Currency","2010/07/01",113.41
"Currency","2010/06/30",113.48
"Currency","2010/06/29",113.44
"Currency","2010/06/28",113.47
"Currency","2010/06/27",113.65
"Currency","2010/06/25",113.58
"Currency","2010/06/24",113.58
"Currency","2010/06/23",113.58
"Currency","2010/06/22",113.53
"Currency","2010/06/21",113.58
"Currency","2010/06/20",113.53
"Currency","2010/06/18",113.45
"Currency","2010/06/17",113.45
"Currency","2010/06/16",113.38
"Currency","2010/06/15",113.48
"Currency","2010/06/14",113.50
"Currency","2010/06/13",113.46
"Currency","2010/06/11",113.44
"Currency","2010/06/10",113.53
"Currency","2010/06/09",113.52
"Currency","2010/06/08",113.63
"Currency","2010/06/07",113.63
"Currency","2010/06/06",113.60
"Currency","2010/06/04",113.53
"Currency","2010/06/03",113.61
"Currency","2010/06/02",113.53
"Currency","2010/06/01",113.73
"Currency","2010/05/31",113.73
"Currency","2010/05/30",113.95
"Currency","2010/05/28",113.88
"Currency","2010/05/27",113.79
"Currency","2010/05/26",113.90
"Currency","2010/05/25",113.73
"Currency","2010/05/24",110.94
"Currency","2010/05/21",113.67
"Currency","2010/05/20",113.73
"Currency","2010/05/19",112.53
"Currency","2010/05/18",113.69
"Currency","2010/05/17",112.81
"Currency","2010/05/16",113.65
"Currency","2010/05/14",113.63
"Currency","2010/05/13",110.82
"Currency","2010/05/12",113.54
"Currency","2010/05/11",113.60
"Currency","2010/05/10",113.53
"Currency","2010/05/09",113.75
"Currency","2010/05/07",113.68
"Currency","2010/05/06",113.62
"Currency","2010/05/05",113.59
"Currency","2010/05/04",113.49
"Currency","2010/05/03",113.63
"Currency","2010/05/02",111.43
"Currency","2010/04/30",113.88
"Currency","2010/04/29",113.88
"Currency","2010/04/28",113.78
"Currency","2010/04/27",113.78
"Currency","2010/04/26",113.86
"Currency","2010/04/25",113.95
"Currency","2010/04/23",113.82
"Currency","2010/04/22",113.83
"Currency","2010/04/21",113.86
"Currency","2010/04/20",113.83
"Currency","2010/04/19",113.88
"Currency","2010/04/16",111.59
"Currency","2010/04/15",113.78
"Currency","2010/04/14",113.73
"Currency","2010/04/13",113.35
"Currency","2010/04/12",113.73
"Currency","2010/04/09",113.76
"Currency","2010/04/08",113.83
"Currency","2010/04/07",113.73
"Currency","2010/04/06",113.73
"Currency","2010/04/05",111.34
"Currency","2010/04/02",110.80
"Currency","2010/04/01",113.78
"Currency","2010/03/31",113.90
"Currency","2010/03/30",113.98
"Currency","2010/03/29",114.06
"Currency","2010/03/26",114.06
"Currency","2010/03/25",114.06
"Currency","2010/03/24",113.98
"Currency","2010/03/23",113.98
"Currency","2010/03/22",114.05
"Currency","2010/03/19",114.00
"Currency","2010/03/18",113.98
"Currency","2010/03/17",114.04
"Currency","2010/03/16",114.08
"Currency","2010/03/15",113.98
"Currency","2010/03/12",113.93
"Currency","2010/03/11",113.93
"Currency","2010/03/10",114.03
"Currency","2010/03/09",113.98
"Currency","2010/03/08",114.11
"Currency","2010/03/07",114.19
"Currency","2010/03/05",114.12
"Currency","2010/03/04",114.13
"Currency","2010/03/03",114.25
"Currency","2010/03/02",114.51
"Currency","2010/03/01",114.51
"Currency","2010/02/28",114.00
"Currency","2010/02/26",114.53
"Currency","2010/02/25",114.48
"Currency","2010/02/24",114.20
"Currency","2010/02/23",114.22
"Currency","2010/02/22",114.30
"Currency","2010/02/21",114.08
"Currency","2010/02/19",114.33
"Currency","2010/02/18",114.33
"Currency","2010/02/17",114.23
"Currency","2010/02/16",114.35
"Currency","2010/02/15",114.38
"Currency","2010/02/14",114.64
"Currency","2010/02/12",114.60
"Currency","2010/02/11",114.68
"Currency","2010/02/10",114.68
"Currency","2010/02/09",114.61
"Currency","2010/02/08",114.63
"Currency","2010/02/07",114.70
"Currency","2010/02/05",114.63
"Currency","2010/02/04",114.53
"Currency","2010/02/03",114.55
"Currency","2010/02/02",114.56
"Currency","2010/02/01",114.60
"Currency","2010/01/31",114.65
"Currency","2010/01/29",114.51
"Currency","2010/01/28",114.58
"Currency","2010/01/27",114.45
"Currency","2010/01/26",114.45
"Currency","2010/01/25",112.09
"Currency","2010/01/24",114.38
"Currency","2010/01/22",114.30
"Currency","2010/01/21",114.30
"Currency","2010/01/20",114.30
"Currency","2010/01/19",114.20
"Currency","2010/01/18",114.18
"Currency","2010/01/17",114.14
"Currency","2010/01/15",114.18
"Currency","2010/01/14",114.29
"Currency","2010/01/13",114.28
"Currency","2010/01/12",114.25
"Currency","2010/01/11",114.28
"Currency","2010/01/10",114.37
"Currency","2010/01/08",114.33
"Currency","2010/01/07",114.25
"Currency","2010/01/06",114.26
"Currency","2010/01/05",114.25
"Currency","2010/01/04",114.38
"Currency","2010/01/03",114.35
"Currency","2010/01/01",114.35
"Currency","2009/12/31",111.92
"Currency","2009/12/30",114.33
"Currency","2009/12/29",114.21
"Currency","2009/12/28",114.28
"Currency","2009/12/24",111.92
"Currency","2009/12/23",114.28
"Currency","2009/12/22",114.25
"Currency","2009/12/21",114.33
"Currency","2009/12/18",114.25
"Currency","2009/12/17",114.18
"Currency","2009/12/16",114.19
"Currency","2009/12/15",114.28
"Currency","2009/12/14",114.38
"Currency","2009/12/11",114.28
"Currency","2009/12/10",114.23
"Currency","2009/12/09",114.13
"Currency","2009/12/08",114.18
"Currency","2009/12/07",114.38
"Currency","2009/12/04",114.28
"Currency","2009/12/03",114.18
"Currency","2009/12/02",114.08
"Currency","2009/12/01",114.34
"Currency","2009/11/30",114.34
"Currency","2009/11/27",114.49
"Currency","2009/11/26",114.36
"Currency","2009/11/25",114.38
"Currency","2009/11/24",114.34
"Currency","2009/11/23",114.48
"Currency","2009/11/20",114.20
"Currency","2009/11/19",114.20
"Currency","2009/11/18",114.20
"Currency","2009/11/17",114.19
"Currency","2009/11/16",114.30
"Currency","2009/11/13",114.39
"Currency","2009/11/12",114.37
"Currency","2009/11/11",114.38
"Currency","2009/11/10",114.33
"Currency","2009/11/09",114.60
"Currency","2009/11/06",114.75
"Currency","2009/11/05",114.75
"Currency","2009/11/04",114.74
"Currency","2009/11/03",114.74
"Currency","2009/11/02",114.73
"Currency","2009/10/31",114.80
"Currency","2009/10/30",113.10
"Currency","2009/10/29",114.74
"Currency","2009/10/28",114.66
"Currency","2009/10/27",114.70
"Currency","2009/10/26",114.75
"Currency","2009/10/23",114.75
"Currency","2009/10/22",114.68
"Currency","2009/10/21",114.75
"Currency","2009/10/20",114.75
"Currency","2009/10/19",114.75
"Currency","2009/10/16",114.74
"Currency","2009/10/15",114.75
"Currency","2009/10/14",114.74
"Currency","2009/10/13",114.75
"Currency","2009/10/12",114.75
"Currency","2009/10/09",114.74
"Currency","2009/10/08",114.73
"Currency","2009/10/07",114.73
"Currency","2009/10/06",114.73
"Currency","2009/10/05",114.73
"Currency","2009/10/02",112.01
"Currency","2009/10/01",114.74
"Currency","2009/09/30",112.68
"Currency","2009/09/29",112.20
"Currency","2009/09/28",114.75
"Currency","2009/09/25",114.73
"Currency","2009/09/24",113.28
"Currency","2009/09/23",114.74
"Currency","2009/09/22",114.75
"Currency","2009/09/21",114.71
"Currency","2009/09/18",112.42
"Currency","2009/09/17",112.33
"Currency","2009/09/16",114.74
"Currency","2009/09/15",114.78
"Currency","2009/09/14",114.68
"Currency","2009/09/11",114.75
"Currency","2009/09/10",112.09
"Currency","2009/09/09",114.75
"Currency","2009/09/08",114.69
"Currency","2009/09/07",114.73
"Currency","2009/09/04",114.73
"Currency","2009/09/03",114.75
"Currency","2009/09/02",114.78
"Currency","2009/09/01",114.68
"Currency","2009/08/31",114.73
"Currency","2009/08/28",112.80
"Currency","2009/08/27",114.74
"Currency","2009/08/26",114.73
"Currency","2009/08/25",114.75
"Currency","2009/08/24",114.76
"Currency","2009/08/21",114.75
"Currency","2009/08/20",114.68
"Currency","2009/08/19",114.63
"Currency","2009/08/18",114.66
"Currency","2009/08/17",114.75
"Currency","2009/08/14",114.91
"Currency","2009/08/13",114.77
"Currency","2009/08/12",114.84
"Currency","2009/08/11",114.84
"Currency","2009/08/10",114.84
"Currency","2009/08/07",114.84
"Currency","2009/08/06",114.84
"Currency","2009/08/05",114.30
"Currency","2009/08/04",114.84
"Currency","2009/08/03",114.83
"Currency","2009/07/31",114.72
"Currency","2009/07/30",114.85
"Currency","2009/07/29",114.79
"Currency","2009/07/28",114.73
"Currency","2009/07/27",114.84
"Currency","2009/07/24",114.76
"Currency","2009/07/23",114.88
"Currency","2009/07/22",114.85
"Currency","2009/07/21",114.85
"Currency","2009/07/20",114.83
"Currency","2009/07/17",114.75
"Currency","2009/07/16",114.83
"Currency","2009/07/15",114.75
"Currency","2009/07/14",114.83
"Currency","2009/07/13",114.87
"Currency","2009/07/10",114.83
"Currency","2009/07/09",114.78
"Currency","2009/07/08",114.83
"Currency","2009/07/07",114.86
"Currency","2009/07/06",114.83
"Currency","2009/07/03",114.83
"Currency","2009/07/02",114.86
"Currency","2009/07/01",114.75
"Currency","2009/06/30",114.85
"Currency","2009/06/29",114.83
"Currency","2009/06/26",114.85
"Currency","2009/06/25",114.86
"Currency","2009/06/24",114.85
"Currency","2009/06/23",114.83
"Currency","2009/06/22",114.84
"Currency","2009/06/19",114.81
"Currency","2009/06/18",114.83
"Currency","2009/06/17",114.73
"Currency","2009/06/16",114.86
"Currency","2009/06/15",114.85
"Currency","2009/06/12",114.88
"Currency","2009/06/11",114.83
"Currency","2009/06/10",114.83
"Currency","2009/06/09",114.85
"Currency","2009/06/08",114.83
"Currency","2009/06/05",114.83
"Currency","2009/06/04",114.86
"Currency","2009/06/03",114.88
"Currency","2009/06/02",114.78
"Currency","2009/06/01",114.70
"Currency","2009/05/31",116.92
"Currency","2009/05/29",114.83
"Currency","2009/05/28",114.85
"Currency","2009/05/27",114.86
"Currency","2009/05/26",114.83
"Currency","2009/05/25",114.83
"Currency","2009/05/22",114.78
"Currency","2009/05/21",115.01
"Currency","2009/05/20",115.01
"Currency","2009/05/19",115.01
"Currency","2009/05/18",115.03
"Currency","2009/05/15",117.66
"Currency","2009/05/14",117.67
"Currency","2009/05/13",117.63
"Currency","2009/05/12",117.38
"Currency","2009/05/11",117.08
"Currency","2009/05/08",117.13
"Currency","2009/05/07",117.13
"Currency","2009/05/06",118.00
"Currency","2009/05/05",120.01
"Currency","2009/05/04",120.03
"Currency","2009/05/01",119.70
"Currency","2009/04/30",120.03
"Currency","2009/04/29",120.03
"Currency","2009/04/28",119.93
"Currency","2009/04/27",120.25
"Currency","2009/04/24",120.10
"Currency","2009/04/23",119.88
"Currency","2009/04/22",119.83
"Currency","2009/04/21",119.00
"Currency","2009/04/20",117.05
"Currency","2009/04/17",115.88
"Currency","2009/04/16",115.73
"Currency","2009/04/15",115.68
"Currency","2009/04/14",115.73
"Currency","2009/04/10",115.40
"Currency","2009/04/09",115.73
"Currency","2009/04/08",115.65
"Currency","2009/04/07",115.75
"Currency","2009/04/06",115.75
"Currency","2009/04/03",115.95
"Currency","2009/04/02",115.93
"Currency","2009/04/01",115.91
"Currency","2009/03/31",115.73
"Currency","2009/03/30",115.13
"Currency","2009/03/27",114.98
"Currency","2009/03/26",114.13
"Currency","2009/03/25",114.06
"Currency","2009/03/24",113.97
"Currency","2009/03/23",113.96
"Currency","2009/03/20",113.84
"Currency","2009/03/19",114.10
"Currency","2009/03/18",114.10
"Currency","2009/03/17",114.10
"Currency","2009/03/16",114.18
"Currency","2009/03/13",114.53
"Currency","2009/03/12",114.53
"Currency","2009/03/11",114.13
"Currency","2009/03/10",114.23
"Currency","2009/03/09",114.23
"Currency","2009/03/06",114.14
"Currency","2009/03/05",114.18
"Currency","2009/03/04",114.20
"Currency","2009/03/03",114.20
"Currency","2009/03/02",114.26
"Currency","2009/02/28",113.92
"Currency","2009/02/27",114.08
"Currency","2009/02/26",115.13
"Currency","2009/02/25",114.83
"Currency","2009/02/24",114.40
"Currency","2009/02/23",114.13
"Currency","2009/02/20",114.13
"Currency","2009/02/19",114.15
"Currency","2009/02/18",114.03
"Currency","2009/02/17",114.18
"Currency","2009/02/16",111.71
"Currency","2009/02/13",113.92
"Currency","2009/02/12",113.95
"Currency","2009/02/11",113.93
"Currency","2009/02/10",113.91
"Currency","2009/02/09",114.00
"Currency","2009/02/06",113.98
"Currency","2009/02/05",113.81
"Currency","2009/02/04",113.91
"Currency","2009/02/03",113.90
"Currency","2009/02/02",113.89
"Currency","2009/01/31",113.74
"Currency","2009/01/30",111.43
"Currency","2009/01/29",113.38
"Currency","2009/01/28",112.68
"Currency","2009/01/27",111.66
"Currency","2009/01/26",109.65
"Currency","2009/01/23",110.18
"Currency","2009/01/22",111.40
"Currency","2009/01/21",110.60
"Currency","2009/01/20",112.57
"Currency","2009/01/19",113.83
"Currency","2009/01/16",111.62
"Currency","2009/01/15",111.98
"Currency","2009/01/14",111.99
"Currency","2009/01/13",112.64
"Currency","2009/01/12",112.08
"Currency","2009/01/09",113.88
"Currency","2009/01/08",110.53
"Currency","2009/01/07",111.35
"Currency","2009/01/06",109.98
"Currency","2009/01/05",111.56
"Currency","2009/01/02",112.03
"Currency","2009/01/01",110.81
"Currency","2008/12/31",110.90
"Currency","2008/12/30",111.63
"Currency","2008/12/29",114.77
"Currency","2008/12/26",110.38
"Currency","2008/12/25",110.46
"Currency","2008/12/24",110.54
"Currency","2008/12/23",111.15
"Currency","2008/12/22",110.11
"Currency","2008/12/19",110.43
"Currency","2008/12/18",112.48
"Currency","2008/12/17",111.70
"Currency","2008/12/16",106.63
"Currency","2008/12/15",107.37
"Currency","2008/12/12",108.93
"Currency","2008/12/11",107.88
"Currency","2008/12/10",107.78
"Currency","2008/12/09",107.26
"Currency","2008/12/08",107.44
"Currency","2008/12/05",107.49
"Currency","2008/12/04",106.65
"Currency","2008/12/03",107.08
"Currency","2008/12/02",107.21
"Currency","2008/12/01",108.18
"Currency","2008/11/30",110.01
"Currency","2008/11/28",108.59
"Currency","2008/11/27",107.56
"Currency","2008/11/26",108.49
"Currency","2008/11/25",106.31
"Currency","2008/11/24",105.49
