"Indicator","Time","Value (USD/MMK)"
"Currency","2017/09/19",1358.00
"Currency","2017/09/18",1342.00
"Currency","2017/09/16",1355.00
"Currency","2017/09/15",1355.00
"Currency","2017/09/14",1353.00
"Currency","2017/09/13",1349.00
"Currency","2017/09/12",1349.00
"Currency","2017/09/11",1349.00
"Currency","2017/09/08",1348.00
"Currency","2017/09/07",1356.00
"Currency","2017/09/06",1354.00
"Currency","2017/09/05",1355.00
"Currency","2017/09/04",1347.00
"Currency","2017/09/01",1360.00
"Currency","2017/08/31",1349.00
"Currency","2017/08/30",1362.00
"Currency","2017/08/29",1347.00
"Currency","2017/08/28",1360.00
"Currency","2017/08/25",1359.00
"Currency","2017/08/24",1350.00
"Currency","2017/08/23",1361.00
"Currency","2017/08/22",1354.00
"Currency","2017/08/21",1354.00
"Currency","2017/08/19",1363.00
"Currency","2017/08/18",1363.00
"Currency","2017/08/17",1362.00
"Currency","2017/08/16",1360.00
"Currency","2017/08/15",1361.00
"Currency","2017/08/14",1359.00
"Currency","2017/08/11",1359.00
"Currency","2017/08/10",1361.00
"Currency","2017/08/09",1364.00
"Currency","2017/08/08",1363.00
"Currency","2017/08/07",1359.00
"Currency","2017/08/05",1361.00
"Currency","2017/08/04",1361.00
"Currency","2017/08/03",1357.00
"Currency","2017/08/02",1357.00
"Currency","2017/08/01",1360.00
"Currency","2017/07/31",1358.00
"Currency","2017/07/28",1360.00
"Currency","2017/07/27",1365.50
"Currency","2017/07/26",1360.00
"Currency","2017/07/25",1368.00
"Currency","2017/07/24",1365.00
"Currency","2017/07/21",1364.00
"Currency","2017/07/20",1368.00
"Currency","2017/07/19",1356.00
"Currency","2017/07/18",1356.00
"Currency","2017/07/17",1362.00
"Currency","2017/07/14",1358.00
"Currency","2017/07/13",1369.00
"Currency","2017/07/12",1355.00
"Currency","2017/07/11",1353.00
"Currency","2017/07/10",1353.00
"Currency","2017/07/07",1353.00
"Currency","2017/07/06",1366.00
"Currency","2017/07/05",1365.00
"Currency","2017/07/04",1367.00
"Currency","2017/07/03",1365.00
"Currency","2017/06/30",1364.00
"Currency","2017/06/29",1362.00
"Currency","2017/06/28",1365.00
"Currency","2017/06/27",1366.00
"Currency","2017/06/26",1353.00
"Currency","2017/06/24",1355.00
"Currency","2017/06/23",1355.00
"Currency","2017/06/22",1369.00
"Currency","2017/06/21",1357.00
"Currency","2017/06/20",1353.00
"Currency","2017/06/19",1364.00
"Currency","2017/06/17",1364.00
"Currency","2017/06/16",1364.00
"Currency","2017/06/15",1359.00
"Currency","2017/06/14",1362.00
"Currency","2017/06/13",1358.00
"Currency","2017/06/12",1351.00
"Currency","2017/06/10",1344.00
"Currency","2017/06/09",1344.00
"Currency","2017/06/08",1357.00
"Currency","2017/06/07",1354.00
"Currency","2017/06/06",1349.00
"Currency","2017/06/05",1358.00
"Currency","2017/06/02",1360.00
"Currency","2017/06/01",1366.00
"Currency","2017/05/31",1366.00
"Currency","2017/05/30",1363.00
"Currency","2017/05/29",1355.00
"Currency","2017/05/27",1369.00
"Currency","2017/05/26",1369.00
"Currency","2017/05/25",1368.00
"Currency","2017/05/24",1366.00
"Currency","2017/05/23",1368.00
"Currency","2017/05/22",1367.00
"Currency","2017/05/20",1367.00
"Currency","2017/05/19",1367.00
"Currency","2017/05/18",1369.00
"Currency","2017/05/17",1357.00
"Currency","2017/05/16",1371.50
"Currency","2017/05/15",1355.50
"Currency","2017/05/12",1353.00
"Currency","2017/05/11",1353.00
"Currency","2017/05/10",1367.00
"Currency","2017/05/09",1367.00
"Currency","2017/05/08",1352.00
"Currency","2017/05/05",1360.00
"Currency","2017/05/04",1346.00
"Currency","2017/05/03",1356.00
"Currency","2017/05/02",1346.00
"Currency","2017/05/01",1359.00
"Currency","2017/04/28",1359.00
"Currency","2017/04/27",1360.00
"Currency","2017/04/26",1364.00
"Currency","2017/04/25",1356.00
"Currency","2017/04/24",1351.50
"Currency","2017/04/21",1353.50
"Currency","2017/04/20",1350.00
"Currency","2017/04/19",1347.00
"Currency","2017/04/18",1355.00
"Currency","2017/04/17",1356.00
"Currency","2017/04/14",1355.00
"Currency","2017/04/13",1355.00
"Currency","2017/04/12",1356.00
"Currency","2017/04/11",1354.00
"Currency","2017/04/10",1355.00
"Currency","2017/04/07",1356.00
"Currency","2017/04/06",1357.00
"Currency","2017/04/05",1355.00
"Currency","2017/04/04",1350.00
"Currency","2017/04/03",1352.00
"Currency","2017/03/31",1359.00
"Currency","2017/03/30",1354.00
"Currency","2017/03/29",1364.00
"Currency","2017/03/28",1364.00
"Currency","2017/03/27",1367.00
"Currency","2017/03/24",1366.00
"Currency","2017/03/23",1367.00
"Currency","2017/03/22",1367.00
"Currency","2017/03/21",1369.00
"Currency","2017/03/20",1370.00
"Currency","2017/03/17",1367.00
"Currency","2017/03/16",1359.00
"Currency","2017/03/15",1373.00
"Currency","2017/03/14",1370.00
"Currency","2017/03/13",1366.00
"Currency","2017/03/10",1372.00
"Currency","2017/03/09",1367.00
"Currency","2017/03/08",1358.00
"Currency","2017/03/07",1352.00
"Currency","2017/03/06",1354.00
"Currency","2017/03/03",1359.00
"Currency","2017/03/02",1355.00
"Currency","2017/03/01",1355.00
"Currency","2017/02/28",1364.00
"Currency","2017/02/27",1368.00
"Currency","2017/02/24",1367.00
"Currency","2017/02/23",1369.00
"Currency","2017/02/22",1371.00
"Currency","2017/02/21",1369.00
"Currency","2017/02/20",1362.00
"Currency","2017/02/17",1367.00
"Currency","2017/02/16",1359.00
"Currency","2017/02/15",1354.00
"Currency","2017/02/14",1366.00
"Currency","2017/02/13",1372.00
"Currency","2017/02/10",1371.00
"Currency","2017/02/09",1371.00
"Currency","2017/02/08",1368.00
"Currency","2017/02/07",1363.00
"Currency","2017/02/06",1363.00
"Currency","2017/02/03",1364.00
"Currency","2017/02/02",1354.00
"Currency","2017/02/01",1358.00
"Currency","2017/01/31",1349.00
"Currency","2017/01/30",1344.00
"Currency","2017/01/27",1359.00
"Currency","2017/01/26",1358.00
"Currency","2017/01/25",1351.00
"Currency","2017/01/24",1355.00
"Currency","2017/01/23",1355.00
"Currency","2017/01/20",1349.00
"Currency","2017/01/19",1357.00
"Currency","2017/01/18",1357.00
"Currency","2017/01/17",1349.00
