"Indicator","Time","Value (USD/HNL)"
"Currency","2013/04/16",19.38
"Currency","2013/04/15",19.42
"Currency","2013/04/12",19.44
"Currency","2013/04/11",19.47
"Currency","2013/04/10",19.50
"Currency","2013/04/09",19.50
"Currency","2013/04/08",19.53
"Currency","2013/04/05",19.55
"Currency","2013/04/04",19.57
"Currency","2013/04/03",19.60
"Currency","2013/04/02",19.60
"Currency","2013/04/01",19.60
"Currency","2013/03/29",19.61
"Currency","2013/03/28",19.61
"Currency","2013/03/27",19.62
"Currency","2013/03/26",19.65
"Currency","2013/03/25",19.67
"Currency","2013/03/22",19.68
"Currency","2013/03/21",19.68
"Currency","2013/03/20",19.70
"Currency","2013/03/19",19.72
"Currency","2013/03/18",19.73
"Currency","2013/03/15",19.75
"Currency","2013/03/14",19.77
"Currency","2013/03/13",19.80
"Currency","2013/03/12",19.83
"Currency","2013/03/11",19.85
"Currency","2013/03/08",19.85
"Currency","2013/03/07",19.85
"Currency","2013/03/06",19.85
"Currency","2013/03/05",19.82
"Currency","2013/03/04",19.83
"Currency","2013/03/01",19.84
"Currency","2013/02/28",19.85
"Currency","2013/02/27",19.88
"Currency","2013/02/26",19.88
"Currency","2013/02/25",19.88
"Currency","2013/02/22",19.92
"Currency","2013/02/21",19.92
"Currency","2013/02/20",19.92
"Currency","2013/02/19",19.92
"Currency","2013/02/18",19.92
"Currency","2013/02/15",19.92
"Currency","2013/02/14",19.92
"Currency","2013/02/13",19.92
"Currency","2013/02/12",19.92
"Currency","2013/02/11",19.93
"Currency","2013/02/08",19.93
"Currency","2013/02/07",19.93
"Currency","2013/02/06",19.93
"Currency","2013/02/05",19.93
"Currency","2013/02/04",19.93
"Currency","2013/02/01",19.93
"Currency","2013/01/31",19.93
"Currency","2013/01/30",19.92
"Currency","2013/01/29",19.92
"Currency","2013/01/28",19.92
"Currency","2013/01/25",19.92
"Currency","2013/01/24",19.92
"Currency","2013/01/23",19.92
"Currency","2013/01/22",19.92
"Currency","2013/01/21",19.92
"Currency","2013/01/18",19.92
"Currency","2013/01/17",19.92
"Currency","2013/01/16",19.92
"Currency","2013/01/15",19.90
"Currency","2013/01/14",19.90
"Currency","2013/01/11",19.90
"Currency","2013/01/10",19.91
"Currency","2013/01/09",19.91
"Currency","2013/01/08",19.90
"Currency","2013/01/07",19.90
"Currency","2013/01/04",19.90
"Currency","2013/01/03",19.90
"Currency","2013/01/02",19.90
"Currency","2013/01/01",19.90
"Currency","2012/12/31",19.90
"Currency","2012/12/28",19.90
"Currency","2012/12/27",19.90
"Currency","2012/12/26",19.91
"Currency","2012/12/25",19.85
"Currency","2012/12/24",19.85
"Currency","2012/12/21",19.86
"Currency","2012/12/20",19.86
"Currency","2012/12/19",19.86
"Currency","2012/12/18",19.85
"Currency","2012/12/17",19.85
"Currency","2012/12/14",19.85
"Currency","2012/12/13",19.85
"Currency","2012/12/12",19.85
"Currency","2012/12/11",19.85
"Currency","2012/12/10",19.85
"Currency","2012/12/07",19.80
"Currency","2012/12/06",19.80
"Currency","2012/12/04",19.80
"Currency","2012/12/03",19.80
"Currency","2012/11/29",19.80
"Currency","2012/11/28",19.80
"Currency","2012/11/27",19.80
"Currency","2012/11/26",19.80
"Currency","2012/11/23",19.80
"Currency","2012/11/22",19.80
"Currency","2012/11/21",19.80
"Currency","2012/11/20",19.80
"Currency","2012/11/19",19.80
"Currency","2012/11/16",19.80
"Currency","2012/11/15",19.80
"Currency","2012/11/14",19.80
"Currency","2012/11/13",19.77
"Currency","2012/11/12",19.77
"Currency","2012/11/09",19.78
"Currency","2012/11/08",19.78
"Currency","2012/11/07",19.78
"Currency","2012/11/06",19.78
"Currency","2012/11/05",19.77
"Currency","2012/11/02",19.72
"Currency","2012/10/31",19.65
"Currency","2012/10/30",19.70
"Currency","2012/10/29",19.70
"Currency","2012/10/26",19.70
"Currency","2012/10/25",19.70
"Currency","2012/10/24",19.70
"Currency","2012/09/30",19.75
"Currency","2012/08/31",19.57
"Currency","2012/07/31",19.47
"Currency","2012/06/30",19.05
"Currency","2012/05/31",19.11
"Currency","2012/04/30",19.06
"Currency","2012/03/31",19.05
"Currency","2012/02/28",19.04
"Currency","2012/01/31",19.03
"Currency","2011/12/31",18.97
"Currency","2011/11/30",18.91
"Currency","2011/10/31",18.96
"Currency","2011/09/30",18.91
"Currency","2011/08/31",18.84
"Currency","2011/07/31",18.67
"Currency","2011/06/30",18.84
"Currency","2011/05/31",18.90
"Currency","2011/04/30",18.90
"Currency","2011/03/31",18.89
"Currency","2011/02/28",18.89
"Currency","2011/01/31",18.89
"Currency","2010/12/31",18.89
"Currency","2010/11/30",18.91
"Currency","2010/10/31",18.77
"Currency","2010/09/30",18.89
"Currency","2010/08/31",18.90
"Currency","2010/07/31",18.90
"Currency","2010/06/30",18.49
"Currency","2010/05/31",18.48
"Currency","2010/04/30",18.52
"Currency","2010/03/31",18.90
"Currency","2010/02/28",18.79
"Currency","2010/01/31",19.03
"Currency","2009/12/31",18.89
"Currency","2009/11/30",18.90
"Currency","2009/10/31",18.89
"Currency","2009/09/30",18.90
"Currency","2009/08/31",18.54
"Currency","2009/07/31",18.55
"Currency","2009/06/30",18.54
"Currency","2009/05/31",18.50
"","",""
"Data Source: http://www.tradingeconomics.com","",""
"Downloaded from http://vam.wfp.org on 11 Jun 2018","",""
